;parameter;overall;УИК №2204;УИК №2205;УИК №2206;УИК №2207;УИК №2208;УИК №2209;УИК №2210;УИК №2211;УИК №2212;УИК №2213;УИК №2214;УИК №2215;УИК №2216;УИК №2217;УИК №2218;УИК №2219
1;Число избирателей, внесенных в список;30782.0;620;1839;2408;1961;2046;2005;1894;2190;2081;1998;2246;2123;2145;2350;2166;710
2;Число бюллетеней, полученных участковой комиссией;21720.0;400;1300;1700;1400;1450;1400;1350;1550;1470;1400;1600;1500;1500;1650;1550;500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3406.0;89;190;305;203;192;248;264;340;223;165;193;162;254;259;218;101
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;1;0;6;1;0;6;0;4;0;2;1;0;0;2;0;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;246.0;6;22;19;17;15;9;18;15;15;21;15;16;21;23;8;6
6;Число погашенных бюллетеней;18068.0;305;1088;1376;1180;1243;1143;1068;1195;1232;1214;1392;1322;1225;1368;1324;393
7;Число бюллетеней в переносных ящиках для голосования;246.0;6;22;19;17;15;9;18;15;15;21;15;16;21;23;8;6
8;Число бюллетеней в стационарных ящиках для голосования;3416.0;88;190;311;201;192;254;264;340;223;164;194;162;254;259;218;102
9;Число недействительных бюллетеней;109.0;1;3;8;6;7;14;13;12;8;3;7;2;6;11;6;2
10;Число действительных бюллетеней;3553.0;93;209;322;212;200;249;269;343;230;182;202;176;269;271;220;106
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
