;name;overall;УИК №2220;УИК №2221;УИК №2222;УИК №2223;УИК №2224;УИК №2225;УИК №2226;УИК №2229;УИК №2230;УИК №2233;УИК №2234;УИК №2235;УИК №2236;УИК №2237
14;Анпилова Полина Максимовна;400.0;25;23;15;29;38;22;27;35;29;41;35;30;36;15
15;Антонов Александр Александрович;282.0;10;31;10;24;21;23;14;16;22;25;24;18;22;22
16;Афанасьева Мария Николаевна;179.0;6;17;10;15;18;14;10;7;12;16;19;8;18;9
17;Бирюков Сергей Евгеньевич;271.0;13;18;12;24;17;15;31;13;22;16;27;30;15;18
18;Биткова Светлана Николаевна;1242.0;88;95;100;82;90;72;111;74;109;86;77;77;97;84
19;Богданова Инна Владимировна;532.0;30;33;23;33;45;32;41;49;38;43;39;60;38;28
20;Грачев Михаил Николаевич;708.0;27;23;35;55;54;29;60;47;48;57;48;132;49;44
21;Гусев Александр Владимирович;278.0;13;12;13;19;19;19;18;15;16;14;24;63;15;18
22;Давыдов Дмитрий Викторович;892.0;62;59;79;57;68;56;70;59;80;61;65;55;72;49
23;Данкова Валерия Владимировна;437.0;18;43;18;41;36;25;29;27;25;37;46;26;33;33
24;Ермолаева Татьяна Игоревна;1159.0;68;71;87;77;73;53;78;75;102;108;77;82;115;93
25;Иванов Александр Юрьевич;303.0;13;17;9;30;14;9;21;17;20;35;16;39;32;31
26;Киселев Виктор Евгеньевич;1080.0;62;71;73;69;68;46;68;55;96;87;63;91;78;153
27;Клюева Инесса Викторовна;926.0;70;72;74;64;63;45;62;54;91;68;65;55;87;56
28;Кочнев Сергей Вениаминович;284.0;12;21;13;24;19;16;18;25;24;16;20;22;25;29
29;Лысенков Вадим Владимирович;934.0;65;49;32;89;62;50;70;79;50;81;77;88;78;64
30;Любимов Андрей Георгиевич;215.0;26;10;12;20;18;13;14;12;26;6;13;10;21;14
31;Малахов Сергей Викторович;1154.0;52;58;28;105;83;57;74;84;54;95;109;156;81;118
32;Маханько Елена Михайловна;325.0;24;18;13;20;30;14;19;17;11;28;46;44;18;23
33;Михеева Лариса Васильевна;287.0;17;19;8;26;18;18;22;23;24;29;23;18;24;18
34;Мочарский Александр Николаевич;87.0;3;8;6;5;6;4;5;7;6;8;11;5;8;5
35;Рекаев Андрей Юрьевич;176.0;15;14;10;14;17;7;17;7;13;10;23;10;16;3
36;Свирин Андрей Викторович;962.0;46;52;34;101;66;47;50;85;46;88;96;85;79;87
37;Силуянова Елена Владимировна;796.0;25;33;21;58;59;39;57;46;38;60;82;132;55;91
38;Соколов Сергей Юрьевич;1227.0;46;58;41;105;90;57;70;75;53;111;122;186;85;128
39;Чекрыжов Юрий Александрович;174.0;7;13;6;20;20;11;13;11;9;18;14;15;8;9
