;parameter;overall;УИК №2227;УИК №2228;УИК №2231;УИК №2232;УИК №2238;УИК №2239;УИК №2240;УИК №2241;УИК №2242;УИК №2243;УИК №2244;УИК №2245;УИК №2246;УИК №2247
1;Число избирателей, внесенных в список;31802.0;2479;2200;2267;2185;2248;2227;2250;2367;2192;2123;2303;2446;2259;2256
2;Число бюллетеней, полученных участковой комиссией;22350.0;1750;1550;1600;1550;1600;1550;1600;1660;1550;1400;1620;1720;1600;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;4182.0;252;242;302;225;267;319;271;352;275;344;318;387;323;305
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;21.0;2;1;1;2;0;1;2;3;2;1;1;3;0;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;231.0;4;9;28;30;3;19;10;15;21;22;19;13;19;19
6;Число погашенных бюллетеней;17937.0;1494;1299;1270;1295;1330;1212;1319;1293;1254;1034;1283;1320;1258;1276
7;Число бюллетеней в переносных ящиках для голосования;231.0;4;9;28;30;3;19;10;15;21;22;19;13;19;19
8;Число бюллетеней в стационарных ящиках для голосования;4188.0;252;241;302;227;267;318;273;352;276;345;318;390;320;307
9;Число недействительных бюллетеней;124.0;7;7;11;4;3;19;5;10;9;11;4;20;8;6
10;Число действительных бюллетеней;4295.0;249;243;319;253;267;318;278;357;288;356;333;383;331;320
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
