;parameter;overall;УИК №351;УИК №352;УИК №368;УИК №370;УИК №371;УИК №372;УИК №373;УИК №374
1;Число избирателей, внесенных в список;20217.0;2670;2324;2870;2554;2189;2487;2651;2472
2;Число бюллетеней, полученных участковой комиссией;14370.0;1900;1650;2000;1850;1550;1770;1900;1750
3;Число бюллетеней, выданных избирателям в помещении для голосования;2978.0;484;317;372;357;318;359;416;355
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;34.0;9;8;1;3;1;3;6;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;180.0;30;18;15;19;13;19;40;26
6;Число погашенных бюллетеней;11212.0;1386;1315;1613;1474;1219;1392;1444;1369
7;Число бюллетеней в переносных ящиках для голосования;180.0;30;18;15;19;13;19;40;26
8;Число бюллетеней в стационарных ящиках для голосования;2999.0;492;314;373;359;319;362;422;358
9;Число недействительных бюллетеней;111.0;11;10;11;18;12;15;15;19
10;Число действительных бюллетеней;3068.0;511;322;377;360;320;366;447;365
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
