;name;overall;УИК №353;УИК №354;УИК №355;УИК №357;УИК №358;УИК №366;УИК №367;УИК №369
14;Абакумов Сергей Юрьевич;170.0;19;26;22;21;24;17;17;24
15;Авраменко Василий Николаевич;303.0;41;31;39;28;56;37;31;40
16;Агафонова-Ленская Татьяна Олеговна;913.0;133;71;139;116;152;98;115;89
17;Белахова Алина Александровна;211.0;22;29;28;29;31;24;23;25
18;Васильева Наталья Владимировна;291.0;50;25;37;40;54;28;28;29
19;Гордеев Анатолий Иванович;220.0;24;27;17;19;46;29;28;30
20;Дрожжева Наталия Григорьевна;308.0;40;29;33;33;57;48;27;41
21;Егоренко Евгений Юрьевич;123.0;17;13;15;17;21;12;19;9
22;Жаркова Валерия Александровна;369.0;49;31;33;41;56;48;52;59
23;Заботин Денис Владимирович;140.0;17;18;15;14;16;13;18;29
24;Кабышев Сергей Владимирович;440.0;56;47;51;42;76;48;64;56
25;Кануров Валерий Иванович;214.0;37;18;19;36;26;22;30;26
26;Константинов Константин Николаевич;258.0;22;25;41;25;42;34;31;38
27;Кузнецова Галина Владимировна;233.0;30;21;28;23;44;29;32;26
28;Ломовский Владимир Егорович;187.0;28;15;12;17;20;18;17;60
29;Меньшикова Анастасия Владимировна;120.0;16;14;9;13;15;14;17;22
30;Муковозова Наталья Ивановна;959.0;110;86;111;125;149;123;126;129
31;Натальчук Андрей Юрьевич;953.0;145;77;162;113;152;100;106;98
32;Николенко Наталья Александровна;740.0;111;60;129;100;111;80;74;75
33;Перова Ирина Владимировна;1171.0;142;102;146;138;187;153;147;156
34;Половко Богдан Юрьевич;77.0;10;4;8;12;9;13;12;9
35;Романова Людмила Васильевна;1139.0;130;99;127;143;187;139;145;169
36;Сидорова Светлана Викторовна;153.0;23;18;16;7;24;16;21;28
37;Силин Дмитрий Витальевич;224.0;17;21;35;23;40;27;36;25
38;Симонов Андрей Александрович;811.0;131;67;130;94;142;78;96;73
39;Тихомиров Валентин Евгеньевич;147.0;19;11;11;16;16;29;31;14
40;Тян Анатолий Геннадьевич;1146.0;137;101;134;135;195;145;137;162
41;Черных Антон Павлович;898.0;139;76;156;101;144;93;100;89
42;Шапошников Дмитрий Сергеевич;996.0;130;86;118;116;155;119;127;145
43;Шубина Алена Людвиговна;294.0;36;28;27;26;73;33;28;43
