;name;overall;УИК №1064;УИК №1068;УИК №1072;УИК №1073;УИК №1074;УИК №1075;УИК №1076;УИК №1077;УИК №1078;УИК №1079
14;Ананьев Юрий Владимирович;303.0;36;29;20;18;36;39;29;26;41;29
15;Анкудинов Игорь Викторович;458.0;51;51;42;28;45;58;31;49;44;59
16;Бондаренко Андрей Григорьевич;1649.0;119;304;106;87;362;131;108;135;109;188
17;Варнавский Александр Валерьевич;204.0;27;31;15;12;24;23;12;18;23;19
18;Даниловцев Валерий Валерьевич;340.0;40;30;56;23;35;37;29;43;24;23
19;Емельянов Дмитрий Сергеевич;188.0;18;17;22;10;16;16;25;20;23;21
20;Захаркина Ирина Олеговна;1787.0;148;308;115;99;362;149;133;158;136;179
21;Захаров Владимир Викторович;1778.0;127;299;110;90;402;139;146;165;123;177
22;Иренкова Татьяна Витальевна;2006.0;140;310;128;114;385;173;210;179;147;220
23;Исунц Аревик Бениковна;163.0;26;5;16;11;13;23;13;16;22;18
24;Клычев Антон Вячеславович;296.0;23;36;23;23;30;35;22;24;35;45
25;Кравченко Игорь Павлович;229.0;19;15;25;15;17;25;28;29;28;28
26;Першин Никита Сергеевич;308.0;44;18;31;25;36;23;26;35;37;33
27;Протасов Роман Игоревич;197.0;15;15;27;10;25;20;27;23;14;21
28;Семенова Мария Алексеевна;230.0;27;31;21;13;29;27;16;14;20;32
29;Смирнов Сергей Сергеевич;342.0;56;12;29;30;45;31;28;40;36;35
30;Тельцов Игорь Владимирович;150.0;7;13;21;11;20;15;12;23;11;17
31;Тимохин Владимир Петрович;1699.0;114;307;101;83;342;142;121;193;117;179
32;Чудаев Геннадий Степанович;213.0;25;9;24;13;18;37;19;31;24;13
