;parameter;overall;УИК №2248;УИК №2249;УИК №2250;УИК №2251;УИК №2252;УИК №2253;УИК №2254;УИК №2255;УИК №2256
1;Число избирателей, внесенных в список;19131.0;2269;2351;2451;1955;2522;494;2350;2352;2387
2;Число бюллетеней, полученных участковой комиссией;13550.0;1600;1650;1750;1400;1800;350;1650;1650;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;2419.0;237;297;332;229;287;57;309;319;352
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;34.0;8;2;3;6;2;0;5;7;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;190.0;22;27;32;19;13;4;26;24;23
6;Число погашенных бюллетеней;10941.0;1341;1326;1386;1152;1500;289;1315;1307;1325
7;Число бюллетеней в переносных ящиках для голосования;190.0;22;27;32;19;13;4;26;24;23
8;Число бюллетеней в стационарных ящиках для голосования;2448.0;244;299;335;235;288;57;314;326;350
9;Число недействительных бюллетеней;93.0;20;8;13;9;5;3;14;10;11
10;Число действительных бюллетеней;2545.0;246;318;354;245;296;58;326;340;362
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
