;name;overall;УИК №2257;УИК №2258;УИК №2259;УИК №2260;УИК №2261;УИК №2262;УИК №2263;УИК №2264;УИК №2265
14;Арушанян Рома Генрихович;213.0;39;27;23;22;22;24;25;27;4
15;Ваганова Юлия Сергеевна;275.0;32;29;30;27;42;30;35;40;10
16;Васильев Николай Михайлович;389.0;63;51;38;53;32;35;61;45;11
17;Верещагин Владимир Иванович;871.0;102;131;107;100;128;87;95;101;20
18;Данилов Илья Игоревич;157.0;21;18;19;11;24;21;16;23;4
19;Егунев Андрей Витальевич;230.0;39;20;20;27;23;22;41;30;8
20;Зобов Олег Михайлович;114.0;23;13;15;10;10;10;13;18;2
21;Зорин Николай Николаевич;195.0;27;22;25;14;25;24;25;27;6
22;Казаков Василий Евгеньевич;651.0;84;78;71;49;95;75;64;110;25
23;Казаков Виталий Степанович;377.0;50;48;35;40;39;38;69;50;8
24;Карелин Андрей Феликсович;624.0;75;69;69;98;70;77;78;72;16
25;Масленников Алексей Константинович;940.0;145;127;106;111;119;96;98;117;21
26;Мешков Алексей Николаевич;334.0;47;29;41;38;33;34;56;45;11
27;Пчельников Геннадий Игнатьевич;1081.0;263;134;110;113;118;106;100;115;22
28;Сазонова Ирина Сергеевна;932.0;151;107;116;105;115;98;100;116;24
29;Харлова Марина Анатольевна;575.0;61;61;59;51;89;79;63;90;22
30;Шмилович Аркадий Липович;871.0;115;119;97;119;110;92;99;100;20
31;Яковлев Евгений Александрович;242.0;27;33;31;26;28;27;41;28;1
