;parameter;overall;УИК №54;УИК №55;УИК №56;УИК №57;УИК №58
1;Число избирателей, внесенных в список;11974.0;2737;2567;2288;2653;1729
2;Число бюллетеней, полученных участковой комиссией;8650.0;2000;1850;1650;1900;1250
3;Число бюллетеней, выданных избирателям в помещении для голосования;2185.0;481;439;433;484;348
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;5;7;3;3;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;179.0;47;45;25;41;21
6;Число погашенных бюллетеней;6286.0;1472;1366;1192;1375;881
7;Число бюллетеней в переносных ящиках для голосования;178.0;47;45;25;40;21
8;Число бюллетеней в стационарных ящиках для голосования;2206.0;486;446;435;485;354
9;Число недействительных бюллетеней;59.0;16;14;8;13;8
10;Число действительных бюллетеней;2325.0;517;477;452;512;367
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
