;name;overall;УИК №3172;УИК №3173;УИК №3174;УИК №3175;УИК №3176;УИК №3177;УИК №3178;УИК №3179;УИК №3180;УИК №3181;УИК №3182;УИК №3183;УИК №3184;УИК №3185;УИК №3188;УИК №3189;УИК №3190;УИК №3191;УИК №3192;УИК №3193;УИК №3194;УИК №3195
14;Вахмистров Евгений Павлович;612.0;35;26;29;22;18;13;23;31;25;23;18;44;32;26;39;44;16;32;31;28;42;15
15;Ващилин Анатолий Сергеевич;1821.0;77;91;78;97;49;63;72;80;78;69;61;72;91;74;120;127;106;78;92;96;91;59
16;Гумирова Наталья Вячеславовна;600.0;40;30;29;22;13;17;21;35;25;17;28;35;37;26;36;39;24;27;19;31;37;12
17;Еремин Денис Михайлович;599.0;37;22;34;21;10;21;20;32;30;19;26;25;28;33;32;24;21;26;25;31;59;23
18;Зайцев Николай Юрьевич;458.0;26;23;20;20;9;19;17;25;18;23;17;16;22;24;15;23;14;27;29;21;27;23
19;Зотов Михаил Яковлевич;1707.0;73;88;79;88;49;69;79;87;79;60;61;60;74;77;106;111;88;72;77;86;90;54
20;Ковчур Марина Владимировна;332.0;16;16;18;11;12;7;13;16;17;21;17;13;15;17;16;18;12;16;16;13;13;19
21;Коршкова Алиса Васильевна;176.0;11;9;12;8;8;8;13;5;13;5;3;6;7;5;8;11;4;8;6;11;9;6
22;Куликов Дмитрий Михайлович;408.0;22;17;19;13;12;11;21;16;28;15;14;14;21;22;21;24;9;21;23;13;26;26
23;Лемзякова Александра Александровна;623.0;32;26;30;16;11;20;18;32;32;19;20;16;40;39;38;27;24;37;26;43;56;21
24;Мельшиян Наталия Хемьзеевна;195.0;12;3;9;10;4;5;9;9;11;3;8;12;10;14;11;8;5;6;14;6;19;7
25;Перевертов Алексей Альбертович;1648.0;75;88;68;91;54;59;79;72;77;64;67;58;88;64;95;116;87;60;74;69;91;52
26;Смирнова Татьяна Петровна;1752.0;83;87;75;89;54;63;75;88;81;69;69;61;77;80;113;112;101;67;84;83;74;67
27;Соловьев Павел Алексеевич;394.0;26;16;18;14;10;15;14;31;23;11;14;25;14;12;21;26;18;13;20;14;28;11
28;Стабров Василий Николаевич;582.0;33;18;34;24;12;18;20;30;24;20;19;21;27;33;32;22;24;26;24;29;69;23
29;Тимохин Юрий Николаевич;529.0;25;26;23;19;11;14;18;26;24;16;21;39;23;24;31;34;20;34;35;24;31;11
30;Тимошина Юлия Сергеевна;313.0;22;22;21;13;7;13;15;10;25;13;10;14;11;8;20;11;8;16;14;11;21;8
31;Тимощенков Александр Михайлович;257.0;15;7;14;9;7;9;10;10;16;5;10;13;8;11;39;16;11;18;5;4;14;6
32;Усачев Дмитрий Сергеевич;240.0;11;9;14;11;10;6;15;5;16;4;9;11;26;14;12;8;7;12;13;4;20;3
33;Худояров Анатолий Тимофеевич;517.0;24;26;20;21;14;12;19;21;20;16;25;31;26;27;25;46;24;26;27;25;34;8
34;Чистов Михаил Сергеевич;339.0;11;21;28;20;11;10;18;9;11;7;14;19;13;18;16;19;10;14;16;9;29;16
35;Шевелло Артур Михайлович;1445.0;60;70;66;80;48;52;65;67;74;67;54;50;72;57;91;101;81;53;66;54;73;44
