;parameter;overall;УИК №3172;УИК №3173;УИК №3174;УИК №3175;УИК №3176;УИК №3177;УИК №3178;УИК №3179;УИК №3180;УИК №3181;УИК №3182;УИК №3183;УИК №3184;УИК №3185;УИК №3188;УИК №3189;УИК №3190;УИК №3191;УИК №3192;УИК №3193;УИК №3194;УИК №3195
1;Число избирателей, внесенных в список;34772.0;1733;1935;1559;1593;1100;1273;1450;1209;1421;1355;1278;1579;1835;1507;1910;1933;1612;1898;1870;1879;1775;1068
2;Число бюллетеней, полученных участковой комиссией;25550.0;1300;1400;1100;1200;800;900;1100;900;1000;1000;1000;1200;1300;1100;1400;1400;1200;1350;1400;1400;1300;800
3;Число бюллетеней, выданных избирателям в помещении для голосования;3971.0;188;207;175;176;103;139;162;178;173;138;152;195;204;191;236;239;172;184;205;180;257;117
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;40.0;2;0;1;6;1;0;0;4;1;2;5;0;0;0;5;5;0;1;2;1;2;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;270.0;27;11;24;14;15;6;8;12;12;13;10;5;4;12;16;19;16;9;7;9;10;11
6;Число погашенных бюллетеней;21309.0;1085;1182;901;1010;682;755;930;710;815;849;838;1000;1092;897;1148;1142;1012;1157;1188;1211;1033;672
7;Число бюллетеней в переносных ящиках для голосования;270.0;27;11;24;14;15;6;8;12;12;13;10;5;4;12;16;19;16;9;7;9;10;11
8;Число бюллетеней в стационарных ящиках для голосования;4001.0;190;205;176;182;104;139;162;182;174;140;157;195;203;191;241;239;171;184;207;181;259;119
9;Число недействительных бюллетеней;146.0;9;7;6;5;3;4;5;8;7;4;8;6;7;8;5;10;6;8;10;6;10;4
10;Число действительных бюллетеней;4125.0;208;209;194;191;116;141;165;186;179;149;159;194;200;195;252;248;181;185;204;184;259;126
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
