;parameter;overall;УИК №1345;УИК №1346;УИК №1347;УИК №1348;УИК №1349;УИК №1350;УИК №1351;УИК №1352;УИК №1353;УИК №1372;УИК №1373;УИК №1374;УИК №1375
1;Число избирателей, внесенных в список;27173.0;2587;2501;1460;2249;2387;2192;1462;1860;2375;2386;1710;1429;2575
2;Число бюллетеней, полученных участковой комиссией;19250.0;1850;1750;1050;1600;1700;1550;1050;1300;1700;1700;1200;1000;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;3137.0;340;318;183;198;277;227;163;245;335;209;200;130;312
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;29.0;3;3;1;4;4;2;0;1;2;2;1;3;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;298.0;36;22;7;25;35;38;14;25;40;17;13;5;21
6;Число погашенных бюллетеней;15815.0;1474;1410;860;1377;1388;1285;873;1030;1325;1474;987;865;1467
7;Число бюллетеней в переносных ящиках для голосования;298.0;36;22;7;25;35;38;14;25;40;17;13;5;21
8;Число бюллетеней в стационарных ящиках для голосования;3162.0;340;320;184;202;281;229;163;246;337;211;201;133;315
9;Число недействительных бюллетеней;136.0;18;15;14;9;10;5;4;14;17;6;9;3;12
10;Число действительных бюллетеней;3324.0;358;327;177;218;306;262;173;257;360;222;205;135;324
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
