;name;overall;УИК №1354;УИК №1355;УИК №1356;УИК №1357;УИК №1358;УИК №1367;УИК №1368;УИК №1369;УИК №1370;УИК №1371;УИК №1376;УИК №1377;УИК №1378
14;Авцинова Валентина Захаровна;389.0;36;28;26;39;21;34;19;38;34;39;17;39;19
15;Архипов Егор Викторович;315.0;18;20;12;19;11;20;11;114;19;21;22;18;10
16;Зыкова Юлия Александровна;259.0;20;33;20;16;16;23;16;10;16;27;22;24;16
17;Иванов Виталий Сергеевич;397.0;29;29;28;37;15;33;22;36;44;44;29;26;25
18;Кирсанова Елена Юрьевна;1221.0;76;106;72;99;116;109;60;128;77;117;111;89;61
19;Кудряшов Василий Владимирович;676.0;52;71;44;41;39;48;60;48;63;62;67;43;38
20;Матюхин Павел Александрович;346.0;18;23;38;24;16;31;27;21;22;24;40;33;29
21;Митяев Александр Константинович;162.0;23;12;11;12;8;12;6;14;17;11;13;12;11
22;Обозная Евгения Павловна;186.0;16;14;13;12;17;24;14;11;11;17;13;12;12
23;Олефир Оксана Георгиевна;299.0;28;12;21;28;16;22;15;27;32;31;28;24;15
24;Павлова Светлана Владимировна;293.0;30;17;22;22;12;26;7;32;32;28;25;25;15
25;Полянская Александра Яковлевна;1264.0;83;109;78;95;123;119;64;118;83;111;116;107;58
26;Портнов Дмитрий Александрович;177.0;14;16;8;14;11;14;7;17;20;5;20;18;13
27;Рабешко Татьяна Юрьевна;1210.0;83;98;64;104;139;99;57;121;60;147;96;85;57
28;Редин Андрей Алексеевич;192.0;15;21;11;13;20;10;9;18;15;14;18;20;8
29;Сафоклов Борис Борисович;366.0;28;35;25;28;20;35;19;38;32;38;22;30;16
30;Смирнов Максим Сергеевич;312.0;30;18;12;9;9;26;23;28;60;23;31;24;19
31;Снастина Елена Александровна;352.0;22;21;19;31;16;29;8;33;80;37;17;22;17
32;Табаков Николай Александрович;1212.0;121;100;70;96;118;103;89;108;72;95;102;89;49
33;Труфанов Игорь Николаевич;303.0;59;23;25;29;17;19;4;22;29;18;22;21;15
34;Тысячин Алексей Сергеевич;187.0;16;16;15;12;10;11;5;20;17;17;19;16;13
35;Шаркина Алла Викторовна;716.0;68;59;57;46;43;45;42;54;69;75;78;38;42
36;Шелухин Юрий Геннадиевич;1173.0;120;103;73;97;112;89;98;104;59;92;89;83;54
37;Шестакова Елена Михайловна;820.0;71;70;72;48;52;52;55;66;66;78;88;55;47
