;name;overall;УИК №1359;УИК №1360;УИК №1361;УИК №1362;УИК №1363;УИК №1364;УИК №1365;УИК №1366;УИК №1379;УИК №1380;УИК №1381;УИК №1382
14;Абдуразаков Абдуразак Расулович;493.0;52;46;49;32;39;61;60;33;25;22;28;46
15;Богданова Светлана Витальевна;1362.0;108;92;112;89;127;146;150;159;77;77;99;126
16;Германов Алексей Андреевич;542.0;57;49;53;52;45;61;54;40;29;20;35;47
17;Глебов Никита Вячеславович;237.0;13;24;22;24;31;11;27;26;12;18;11;18
18;Дружинин Александр Александрович;370.0;28;18;28;46;43;29;28;32;16;20;62;20
19;Клюева Наталья Алексеевна;524.0;44;36;49;55;32;63;33;83;17;35;27;50
20;Ковалева Ирина Юрьевна 02/09/62;549.0;63;40;96;49;47;49;29;54;13;40;36;33
21;Ковалева Ирина Юрьевна 11/04/68;248.0;34;25;26;32;17;19;13;27;11;14;11;19
22;Колина Елена Ивановна;269.0;27;19;32;31;17;24;16;24;19;20;19;21
23;Колчина Марианна Сергеевна;374.0;34;26;40;42;32;44;27;47;10;24;19;29
24;Корнеев Павел Евгеньевич;1029.0;76;75;79;71;99;132;97;102;70;64;70;94
25;Костерин Алексей Андреевич;107.0;3;7;10;5;10;11;14;16;10;6;7;8
26;Обозный Владимир Павлович;110.0;12;8;9;7;8;7;22;15;5;8;3;6
27;Оленич Родион Николаевич;337.0;42;15;24;32;36;37;26;30;14;24;24;33
28;Осин Роман Сергеевич;152.0;13;10;9;14;13;12;19;15;8;8;13;18
29;Пашутина Татьяна Александровна;1324.0;102;80;107;98;126;151;127;130;70;79;122;132
30;Петров Андрей Николаевич;711.0;81;56;65;57;61;69;80;62;33;40;34;73
31;Пинчук Виталий Александрович;514.0;55;41;54;55;49;52;47;33;16;25;32;55
32;Полякова Людмила Викторовна;1086.0;61;59;71;66;100;130;89;95;57;67;170;121
33;Рамазанов Рашид Мяксудович;183.0;15;9;14;15;23;12;24;9;28;6;15;13
34;Рязанов Владислав Александрович;200.0;19;14;15;16;25;23;22;21;13;8;12;12
35;Смирнов Вячеслав Александрович;192.0;14;17;12;13;26;20;22;19;10;7;16;16
36;Солопова Татьяна Александровна;102.0;9;6;8;9;15;11;5;11;2;7;7;12
37;Хасянов Мурат Жиганшинович;148.0;10;8;24;9;14;13;10;10;6;11;24;9
38;Хомякова Татьяна Васильевна;633.0;61;55;47;56;56;74;67;46;33;34;33;71
39;Червяков Николай Витальевич;852.0;71;50;66;54;84;113;89;76;50;47;56;96
40;Шишкин Никита Сергеевич;157.0;17;21;6;18;18;9;15;17;7;9;3;17
41;Шишкина Ольга Юрьевна;263.0;24;25;24;34;22;15;30;28;9;17;15;20
42;Шустикова Людмила Николаевна;272.0;18;24;22;29;25;23;26;29;16;16;16;28
