;parameter;overall;УИК №1359;УИК №1360;УИК №1361;УИК №1362;УИК №1363;УИК №1364;УИК №1365;УИК №1366;УИК №1379;УИК №1380;УИК №1381;УИК №1382
1;Число избирателей, внесенных в список;27871.0;2593;2551;2432;2494;2562;2552;2527;2460;1953;1651;2031;2065
2;Число бюллетеней, полученных участковой комиссией;19700.0;1850;1800;1700;1750;1800;1800;1800;1750;1400;1150;1450;1450
3;Число бюллетеней, выданных избирателям в помещении для голосования;3382.0;305;230;284;250;301;338;358;362;182;175;294;303
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;6.0;0;0;0;0;2;0;1;1;0;2;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;331.0;27;36;24;18;27;37;11;28;28;20;39;36
6;Число погашенных бюллетеней;15987.0;1518;1534;1392;1482;1472;1425;1431;1360;1190;955;1117;1111
7;Число бюллетеней в переносных ящиках для голосования;331.0;27;36;24;18;27;37;11;28;28;20;39;36
8;Число бюллетеней в стационарных ящиках для голосования;3294.0;305;230;284;245;254;338;352;331;182;177;294;302
9;Число недействительных бюллетеней;153.0;17;15;7;5;12;17;18;27;6;2;16;11
10;Число действительных бюллетеней;3472.0;315;251;301;258;269;358;345;332;204;195;317;327
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
