;parameter;overall;УИК №2592;УИК №2593;УИК №2594;УИК №2595;УИК №2601;УИК №2602;УИК №2603;УИК №2604;УИК №2605;УИК №2606;УИК №2607;УИК №2608;УИК №2609;УИК №2610;УИК №2611;УИК №2612;УИК №2614;УИК №2615;УИК №2628
1;Число избирателей, внесенных в список;44216.0;1190;2781;2520;2061;2958;2679;2008;2474;2565;2077;2567;2602;2494;2608;2351;1206;2564;2462;2049
2;Число бюллетеней, полученных участковой комиссией;31300.0;1000;2000;1800;1500;2000;1900;1400;1700;1800;1500;1800;1800;1800;1800;1600;900;1800;1700;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;4998.0;192;324;310;265;422;405;184;212;258;261;311;230;291;242;237;143;241;260;210
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;23.0;2;0;1;1;2;2;3;1;3;1;1;2;0;1;0;1;1;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;262.0;12;6;26;16;11;14;10;9;8;9;17;9;10;20;11;4;19;28;23
6;Число погашенных бюллетеней;26040.0;796;1670;1464;1219;1567;1481;1206;1479;1534;1230;1472;1561;1499;1538;1352;753;1540;1412;1267
7;Число бюллетеней в переносных ящиках для голосования;262.0;12;6;26;16;11;14;10;9;8;9;17;9;10;20;11;4;19;28;23
8;Число бюллетеней в стационарных ящиках для голосования;5011.0;194;324;311;265;424;406;187;213;261;262;311;232;291;239;236;144;240;261;210
9;Число недействительных бюллетеней;160.0;4;10;6;16;16;6;9;7;11;9;12;5;5;11;7;2;7;12;5
10;Число действительных бюллетеней;5113.0;202;320;331;265;419;414;188;215;258;262;316;236;296;248;240;146;252;277;228
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
