;name;overall;УИК №2591;УИК №2596;УИК №2597;УИК №2598;УИК №2599;УИК №2600;УИК №2613;УИК №2616;УИК №2617;УИК №2618;УИК №2619;УИК №2620;УИК №2621;УИК №2622;УИК №2623;УИК №2624;УИК №2625;УИК №2626;УИК №2627;УИК №2629
14;Алексеев Алексей Алексеевич;2504.0;99;238;265;185;102;80;105;52;99;130;165;143;84;120;174;140;63;90;112;58
15;Барков Евгений Николаевич;1961.0;82;95;115;86;75;81;94;48;83;100;171;140;110;110;157;148;63;104;78;21
16;Бураков Константин Николаевич;557.0;14;25;28;21;14;15;23;17;23;37;39;97;42;40;54;10;25;14;14;5
17;Волкова Елена Валериевна;397.0;23;25;25;18;16;45;27;12;21;20;18;14;14;21;17;19;15;23;19;5
18;Вольф Константин Владимирович;1199.0;62;76;53;50;46;87;76;88;69;71;53;43;86;54;62;55;41;59;51;17
19;Гуськов Александр Александрович;342.0;24;13;9;18;27;55;9;9;24;15;22;15;13;14;13;24;10;11;15;2
20;Задорожная Надежда Владимировна;824.0;47;47;53;41;54;54;46;30;34;52;46;51;26;46;39;33;26;36;53;10
21;Зимин Виталий Константинович;562.0;30;41;38;28;34;39;37;20;25;35;25;34;16;33;21;30;16;17;35;8
22;Квятковский Александр Викторович;276.0;14;21;10;6;12;9;15;9;9;11;17;35;11;18;39;10;6;11;10;3
23;Когут Оксана Александровна;1528.0;78;109;59;67;73;85;111;123;85;85;60;61;90;86;79;76;57;56;63;25
24;Конкин Вячеслав Витальевич;294.0;29;16;12;8;24;37;14;22;12;10;17;15;11;11;16;9;5;14;9;3
25;Крашакова Татьяна Владимировна;1689.0;68;79;98;76;63;63;91;49;85;108;131;106;46;90;177;125;55;91;63;25
26;Кудряшов Василий Алексеевич;1496.0;98;84;60;55;77;111;87;130;84;83;62;47;107;73;75;51;59;62;62;29
27;Лещенко Дмитрий Васильевич;664.0;15;128;147;118;13;10;13;20;21;17;18;14;6;8;6;13;16;11;20;50
28;Мазур Юлия Александровна;648.0;74;29;23;24;54;38;28;33;40;29;37;45;22;31;27;32;23;31;21;7
29;Мальцева Светлана Владимировна;1652.0;56;205;161;146;58;89;67;98;73;73;57;41;113;75;72;53;47;59;62;47
30;Монахов Михаил Игоревич;258.0;11;20;9;8;14;11;18;10;22;19;8;16;7;13;14;12;12;11;16;7
31;Неяскин Никита Викторович;470.0;23;10;11;8;19;22;33;12;29;23;43;34;16;22;48;33;13;37;30;4
32;Осецкая Анастасия Александровна;172.0;5;12;6;5;6;11;11;11;10;5;12;11;7;16;11;8;8;5;12;0
33;Симакова Ольга Евгеньевна;338.0;13;27;19;16;24;24;16;15;9;16;12;18;14;20;19;16;21;14;17;8
34;Смирнова Надежда Валентиновна;965.0;39;129;137;121;44;39;35;23;37;39;25;48;25;45;30;27;21;32;36;33
35;Тимошенко Илья Сергеевич;1599.0;70;69;61;48;66;67;92;37;73;94;143;108;65;90;140;124;63;100;70;19
36;Тухачевский Александр Андреевич;444.0;16;51;91;49;10;10;25;12;20;17;14;17;9;12;17;20;12;17;11;14
37;Тюркин Всеволод Владимирович;1876.0;61;210;262;185;70;54;71;29;72;83;100;84;40;86;137;102;47;57;64;62
38;Чеканская Елена Викторовна;474.0;33;27;14;22;27;28;35;6;24;18;25;31;18;33;24;29;17;37;23;3
39;Шаламова Любовь Федоровна;1405.0;68;86;44;47;69;97;84;113;78;65;62;60;108;85;85;65;51;62;60;16
