;parameter;overall;УИК №2905;УИК №2906;УИК №2907;УИК №2908;УИК №2909
1;Число избирателей, внесенных в список;9312.0;2429;2328;1727;2245;583
2;Число бюллетеней, полученных участковой комиссией;6700.0;1700;1700;1300;1600;400
3;Число бюллетеней, выданных избирателям в помещении для голосования;2450.0;611;494;499;616;230
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;20.0;7;5;2;6;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;93.0;14;26;42;11;0
6;Число погашенных бюллетеней;4157.0;1075;1180;759;973;170
7;Число бюллетеней в переносных ящиках для голосования;93.0;14;26;42;11;0
8;Число бюллетеней в стационарных ящиках для голосования;2453.0;602;498;501;622;230
9;Число недействительных бюллетеней;55.0;12;16;13;10;4
10;Число действительных бюллетеней;2491.0;604;508;530;623;226
11;Число утраченных бюллетеней;0.0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0
