;name;overall;УИК №2910;УИК №2911;УИК №2912;УИК №2913
14;Бабушкин Марк Юрьевич;264.0;62;67;55;80
15;Бархоткина Елена Борисовна;126.0;54;25;21;26
16;Божков Сергей Александрович;106.0;30;23;25;28
17;Герасимова Екатерина Александровна;906.0;200;286;171;249
18;Громов Вячеслав Николаевич;208.0;62;49;41;56
19;Зайцев Роман Александрович;70.0;29;9;5;27
20;Коваленко Инна Станиславовна;342.0;84;99;49;110
21;Козлов Сергей Юрьевич;424.0;99;100;127;98
22;Куфопанделис Татьяна Владимировна;533.0;119;112;169;133
23;Ломаков Никита Владиславович;82.0;24;14;13;31
24;Лузин Евгений Валерьевич;164.0;49;42;34;39
25;Лукасик Анна Владиславовна;1163.0;256;349;205;353
26;Марусов Сергей Александрович;63.0;21;11;9;22
27;Маруфиди Василий Христофорович;490.0;110;122;136;122
28;Михайлов Александр Евгеньевич;50.0;23;11;8;8
29;Нечаева Надежда Геннадьевна;44.0;15;16;7;6
30;Пилюгин Игорь Юрьевич;459.0;84;104;171;100
31;Пожидаев Денис Николаевич;304.0;41;66;38;159
32;Рассудов Павел Юрьевич;84.0;25;23;20;16
33;Свергун Наталья Ивановна;894.0;193;277;166;258
34;Серегин Сергей Валериевич;215.0;59;53;42;61
35;Сидельникова Елена Васильевна;946.0;201;309;196;240
36;Скринкович Максим Николаевич;94.0;22;29;12;31
37;Стельников Евгений Сергеевич;78.0;17;16;15;30
38;Сторожук Юрий Васильевич;87.0;19;20;18;30
39;Суворова Светлана Викторовна;581.0;141;168;157;115
40;Тихомирова Наталья Борисовна;1085.0;257;342;210;276
41;Часовникова Евгения Львовна;174.0;49;40;39;46
42;Якшин Юрий Николаевич;126.0;45;28;17;36
