;parameter;overall;УИК №2910;УИК №2911;УИК №2912;УИК №2913
1;Число избирателей, внесенных в список;9500.0;2324;2433;1881;2862
2;Число бюллетеней, полученных участковой комиссией;6700.0;1700;1700;1300;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;2324.0;548;607;501;668
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;26.0;4;8;9;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;54.0;5;25;9;15
6;Число погашенных бюллетеней;4322.0;1147;1068;790;1317
7;Число бюллетеней в переносных ящиках для голосования;54.0;5;25;9;15
8;Число бюллетеней в стационарных ящиках для голосования;2341.0;552;615;501;673
9;Число недействительных бюллетеней;45.0;14;7;11;13
10;Число действительных бюллетеней;2350.0;543;633;499;675
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
