;parameter;overall;УИК №375;УИК №376;УИК №377;УИК №378;УИК №379;УИК №380;УИК №387;УИК №388
1;Число избирателей, внесенных в список;15823.0;2048;2283;2951;2617;2666;2177;409;672
2;Число бюллетеней, полученных участковой комиссией;11575.0;1500;1600;2100;1900;1900;1600;300;675
3;Число бюллетеней, выданных избирателям в помещении для голосования;2482.0;300;354;335;473;366;310;47;297
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;0.0;0;0;0;0;0;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;422.0;55;19;33;32;35;26;4;218
6;Число погашенных бюллетеней;8671.0;1145;1227;1732;1395;1499;1264;249;160
7;Число бюллетеней в переносных ящиках для голосования;422.0;55;19;33;32;35;26;4;218
8;Число бюллетеней в стационарных ящиках для голосования;2476.0;298;354;335;472;366;309;47;295
9;Число недействительных бюллетеней;133.0;16;12;11;17;12;16;3;46
10;Число действительных бюллетеней;2765.0;337;361;357;487;389;319;48;467
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
