;name;overall;УИК №381;УИК №382;УИК №383;УИК №384;УИК №385;УИК №386
14;Вайсман Роман Леонидович;799.0;148;115;139;122;135;140
15;Гапеев Юрий Андреевич;200.0;28;21;33;43;36;39
16;Грехов Виктор Анатольевич;787.0;127;108;90;182;126;154
17;Емельянов Антон Михайлович;113.0;20;22;19;19;18;15
18;Кантимиров Евгений Анатольевич;277.0;59;53;36;53;38;38
19;Качайлов Евгений Александрович;668.0;80;86;103;151;111;137
20;Коган Юрий Владимирович;159.0;31;22;29;28;25;24
21;Коленков Андрей Аркадьевич;299.0;63;63;34;62;36;41
22;Лазарева Светлана Ильтезяревна;940.0;174;140;147;138;152;189
23;Ненашев Сергей Александрович;114.0;20;26;18;18;24;8
24;Орлов Геннадий Иванович;305.0;71;60;46;50;45;33
25;Семенченко Сергей Федорович;708.0;136;77;101;87;116;191
26;Ситников Александр Валентинович;325.0;65;73;54;59;52;22
27;Соловова Ярослава Александровна;653.0;92;76;120;148;94;123
28;Танатарова Тамара Оразовна;556.0;64;78;95;129;84;106
29;Токаревская Елена Владимировна;262.0;49;60;39;44;40;30
30;Фокина Оксана Александровна;476.0;82;99;72;91;78;54
31;Фортунатов Валерий Станиславович;150.0;46;31;21;20;23;9
32;Чернышева Зоя Николаевна;783.0;151;110;129;107;120;166
33;Щербаков Алексей Владимирович;701.0;132;92;109;106;117;145
