;parameter;overall;УИК №381;УИК №382;УИК №383;УИК №384;УИК №385;УИК №386
1;Число избирателей, внесенных в список;16032.0;2842;2514;2789;2553;2783;2551
2;Число бюллетеней, полученных участковой комиссией;11400.0;2000;1800;2000;1800;2000;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;2242.0;400;358;354;377;347;406
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;0.0;0;0;0;0;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;183.0;38;17;25;49;34;20
6;Число погашенных бюллетеней;8975.0;1562;1425;1621;1374;1619;1374
7;Число бюллетеней в переносных ящиках для голосования;183.0;38;17;25;49;34;20
8;Число бюллетеней в стационарных ящиках для голосования;2235.0;398;356;354;377;346;404
9;Число недействительных бюллетеней;80.0;15;9;14;13;14;15
10;Число действительных бюллетеней;2338.0;421;364;365;413;366;409
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
