;name;overall;УИК №1384;УИК №1385;УИК №1386;УИК №1387;УИК №1388;УИК №1390;УИК №1392;УИК №1393;УИК №1394
14;Авдеев Виталий Васильевич;342.0;47;13;28;37;36;59;33;48;41
15;Андреева Александра Сергеевна;1024.0;120;24;93;88;67;174;138;181;139
16;Бетяева Ольга Васильевна;866.0;103;10;29;82;120;82;160;160;120
17;Бехер Наталья Александровна;537.0;63;9;46;41;46;104;62;89;77
18;Давыдова Полина Сергеевна;347.0;55;8;31;46;32;41;45;49;40
19;Елкин Андрей Дмитриевич;167.0;23;4;22;25;14;17;24;21;17
20;Жукова Ника Викторовна;241.0;38;13;17;27;17;29;32;36;32
21;Зинкевич Ирина Витальевна;805.0;110;12;46;74;100;93;152;121;97
22;Илюхина Елена Ивановна;845.0;122;16;38;73;96;95;155;146;104
23;Ключников Виталий Алексеевич;219.0;17;5;13;40;21;27;28;32;36
24;Колесников Станислав Евгеньевич;181.0;17;2;13;22;14;25;30;33;25
25;Летучий Сергей Алексеевич;645.0;77;12;50;46;29;157;74;105;95
26;Москалев Валерий Александрович;614.0;69;17;57;52;32;158;62;89;78
27;Никитина Светлана Сергеевна;164.0;24;8;9;24;13;17;23;26;20
28;Нуждин Николай Александрович;959.0;113;13;59;52;83;110;231;163;135
29;Семенов Василий Васильевич;594.0;76;16;50;45;33;141;69;94;70
30;Синюкова Тамара Савельевна;136.0;17;2;8;15;10;18;36;17;13
31;Ставцева Лариса Григорьевна;126.0;14;3;6;15;9;13;20;28;18
32;Субботкин Дмитрий Алексеевич;233.0;17;5;12;20;12;34;55;53;25
33;Фошина Надежда Николаевна;683.0;86;7;25;74;98;84;124;103;82
34;Чеботарев Артём Игоревич;256.0;64;7;24;18;14;26;31;39;33
