;parameter;overall;УИК №599;УИК №600;УИК №601;УИК №602;УИК №603;УИК №604;УИК №605;УИК №606
1;Число избирателей, внесенных в список;18406.0;2542;2449;2603;2689;2148;1974;1962;2039
2;Число бюллетеней, полученных участковой комиссией;12920.0;1790;1720;1820;1880;1510;1390;1380;1430
3;Число бюллетеней, выданных избирателям в помещении для голосования;2866.0;524;439;349;465;291;237;273;288
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;20.0;2;5;0;6;2;2;1;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;182.0;11;29;8;58;14;28;19;15
6;Число погашенных бюллетеней;9872.0;1255;1252;1463;1357;1205;1125;1088;1127
7;Число бюллетеней в переносных ящиках для голосования;181.0;11;29;8;58;14;28;19;14
8;Число бюллетеней в стационарных ящиках для голосования;2870.0;526;444;348;471;279;239;273;290
9;Число недействительных бюллетеней;111.0;7;16;21;21;14;6;12;14
10;Число действительных бюллетеней;2940.0;530;457;335;508;279;261;280;290
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
