;parameter;overall;УИК №2266;УИК №2267;УИК №2268;УИК №2269;УИК №2270;УИК №2271;УИК №2272;УИК №2273;УИК №2274;УИК №2275;УИК №2276;УИК №2278
1;Число избирателей, внесенных в список;24959.0;2026;2153;1915;1443;2050;1951;2182;2247;2124;2268;2082;2518
2;Число бюллетеней, полученных участковой комиссией;17900.0;1450;1550;1350;1000;1500;1400;1550;1600;1550;1650;1500;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;4085.0;406;420;374;198;309;338;291;306;396;344;381;322
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;55.0;4;6;3;6;3;7;9;9;3;2;1;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;223.0;22;7;7;14;36;28;20;14;23;11;19;22
6;Число погашенных бюллетеней;13590.0;1022;1123;969;788;1155;1034;1237;1280;1131;1295;1100;1456
7;Число бюллетеней в переносных ящиках для голосования;220.0;22;7;7;14;36;28;20;14;20;11;19;22
8;Число бюллетеней в стационарных ящиках для голосования;4137.0;410;425;376;204;312;345;300;314;399;346;382;324
9;Число недействительных бюллетеней;87.0;5;6;4;5;7;5;9;4;12;7;13;10
10;Число действительных бюллетеней;4270.0;427;426;379;213;341;368;311;324;407;350;388;336
11;Число утраченных бюллетеней;2.0;0;0;0;0;0;0;2;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
