;name;overall;УИК №2277;УИК №2279;УИК №2280;УИК №2281;УИК №2282;УИК №2283;УИК №2284;УИК №2285;УИК №2286;УИК №2287;УИК №2288;УИК №2289;УИК №2290;УИК №2291
14;Алексеев Иван Александрович;567.0;52;34;46;46;37;45;31;38;60;43;42;12;26;55
15;Бабурина Ирина Алексеевна;1285.0;74;75;109;62;54;102;91;115;94;143;125;21;85;135
16;Барановский Спартак Спартакович;854.0;59;59;90;51;38;76;53;74;57;91;63;12;50;81
17;Бацманов Глеб Михайлович;194.0;16;11;17;14;7;16;19;16;15;16;21;3;10;13
18;Вардомский Дмитрий Сергеевич;407.0;20;23;25;29;20;33;31;40;29;33;80;8;12;24
19;Геворкян Гаянэ Андреевна;111.0;16;6;9;7;3;9;9;13;10;7;12;1;6;3
20;Дроздов Валентин Николаевич;432.0;19;31;25;31;21;43;45;35;41;39;49;10;8;35
21;Истин Николай Михайлович;879.0;63;64;35;87;56;71;79;31;111;88;69;20;49;56
22;Кладов Евгений Сергеевич;381.0;30;21;34;34;24;31;21;22;49;24;32;8;17;34
23;Куземина Юлия Владимировна;1076.0;75;69;108;72;60;100;62;105;88;101;78;19;50;89
24;Нефедов Гордей Юрьевич;1194.0;88;80;60;117;100;91;86;62;163;92;89;30;60;76
25;Оболонский Юрий Владимирович;740.0;39;42;48;55;32;77;58;65;63;63;121;10;21;46
26;Ордина Ольга Николаевна;1049.0;77;67;106;53;55;80;75;95;86;110;74;11;60;100
27;Панин Никита Павлович;215.0;17;15;16;10;11;26;31;22;14;15;14;6;8;10
28;Панин Павел Вячеславович;373.0;32;20;22;22;24;31;58;29;27;33;26;6;22;21
29;Роженко Анастасия Валерьевна;493.0;19;24;28;27;20;52;28;47;37;46;113;7;13;32
30;Рябов Иван Александрович;105.0;9;5;7;7;6;11;9;8;9;10;5;1;8;10
31;Серегина Анна Романовна;400.0;16;19;27;23;17;56;42;32;29;46;50;10;11;22
32;Соболева Марина Владимировна;424.0;34;31;24;34;29;47;43;24;41;32;40;5;16;24
33;Соколов Арсений Александрович;912.0;67;60;38;92;69;76;76;37;117;82;70;18;46;64
34;Соколова Яна Александровна;1187.0;94;76;66;108;96;95;90;56;147;98;97;24;59;81
35;Удалова Валентина Александровна;823.0;57;60;107;53;43;65;48;70;55;86;58;7;43;71
36;Чиркин Кирилл Вадимович;1213.0;71;69;56;110;119;100;98;70;131;97;168;18;42;64
37;Шешенин Алексей Николаевич;488.0;44;32;44;48;38;43;25;35;46;39;31;10;16;37
38;Яворовская Ксения Александровна;520.0;48;30;42;34;38;45;41;39;40;42;47;7;24;43
