;parameter;overall;УИК №622;УИК №623;УИК №624;УИК №625;УИК №626;УИК №627;УИК №628;УИК №629
1;Число избирателей, внесенных в список;18434.0;2600;2280;2304;2276;2568;2186;2160;2060
2;Число бюллетеней, полученных участковой комиссией;12800.0;1800;1600;1600;1600;1800;1500;1500;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;2851.0;410;408;323;361;396;363;309;281
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;24.0;3;3;6;5;4;3;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;182.0;10;28;21;28;32;31;16;16
6;Число погашенных бюллетеней;9767.0;1380;1164;1256;1211;1372;1106;1175;1103
7;Число бюллетеней в переносных ящиках для голосования;181.0;10;27;21;28;32;31;16;16
8;Число бюллетеней в стационарных ящиках для голосования;2869.0;413;408;328;365;400;366;308;281
9;Число недействительных бюллетеней;84.0;8;7;9;4;13;19;16;8
10;Число действительных бюллетеней;2966.0;415;428;340;389;419;378;308;289
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
