;parameter;overall;УИК №630;УИК №631;УИК №632;УИК №633;УИК №634;УИК №635;УИК №636
1;Число избирателей, внесенных в список;18238.0;2443;2618;2654;2657;2571;2723;2572
2;Число бюллетеней, полученных участковой комиссией;12750.0;1700;1850;1850;1850;1800;1900;1800
3;Число бюллетеней, выданных избирателям в помещении для голосования;2873.0;403;307;491;587;351;402;332
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;11.0;1;1;4;2;0;2;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;166.0;28;24;10;24;23;26;31
6;Число погашенных бюллетеней;9711.0;1269;1519;1349;1239;1426;1472;1437
7;Число бюллетеней в переносных ящиках для голосования;166.0;28;24;10;24;23;26;31
8;Число бюллетеней в стационарных ящиках для голосования;2877.0;402;308;495;587;351;402;332
9;Число недействительных бюллетеней;83.0;14;9;12;10;9;12;17
10;Число действительных бюллетеней;2960.0;416;323;493;601;365;416;346
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
