;name;overall;УИК №637;УИК №638;УИК №639;УИК №640;УИК №641;УИК №642;УИК №643
14;Антонов-Овсеенко Антон Антонович;506.0;63;66;77;84;96;65;55
15;Ариончик Александр Александрович;744.0;135;104;76;113;105;101;110
16;Архаров Игорь Юрьевич;384.0;41;72;41;63;56;50;61
17;Большаков Дмитрий Владимирович;780.0;142;108;93;115;122;103;97
18;Добыш Степан Андреевич;731.0;119;89;79;115;127;111;91
19;Ефремов Михаил Викторович;531.0;72;89;67;73;89;69;72
20;Куваев Александр Александрович;317.0;40;47;27;52;63;43;45
21;Лебедев Евгений Игоревич;533.0;72;51;88;73;114;67;68
22;Лысикова Светлана Владимировна;306.0;49;47;36;61;26;50;37
23;Московкин Сергей Михайлович;184.0;25;30;21;32;35;19;22
24;Рудакова Светлана Александровна;197.0;31;27;26;30;24;31;28
25;Федорова Анна Александровна;916.0;165;124;107;149;130;134;107
26;Хамидулин Эрик Артурович;90.0;16;11;10;13;12;13;15
27;Чуйко Татьяна Анатольевна;558.0;80;62;71;97;102;75;71
28;Шахов Максим Николаевич;262.0;38;48;31;44;29;41;31
29;Шевкунов Алексей Андреевич;200.0;23;22;44;23;28;26;34
30;Шубин Юрий Валентинович;171.0;25;29;19;35;23;24;16
