;parameter;overall;УИК №1411;УИК №1412;УИК №1413;УИК №1414;УИК №1415;УИК №1419;УИК №1420;УИК №1436;УИК №1437;УИК №1438;УИК №1439;УИК №1448;УИК №1449;УИК №1450
1;Число избирателей, внесенных в список;28618.0;1556;1824;1931;2126;1180;1709;2317;1524;2535;1716;2419;2573;2633;2575
2;Число бюллетеней, полученных участковой комиссией;21200.0;1100;1300;1400;1600;900;1300;1700;1100;1900;1300;1800;1900;2000;1900
3;Число бюллетеней, выданных избирателям в помещении для голосования;3724.0;176;271;240;271;238;250;333;172;255;229;263;306;338;382
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;27.0;0;2;1;3;2;5;1;2;6;1;0;2;1;1
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;216.0;11;21;28;14;14;10;31;14;13;15;16;16;6;7
6;Число погашенных бюллетеней;17260.0;913;1008;1132;1315;648;1040;1336;914;1632;1056;1521;1578;1656;1511
7;Число бюллетеней в переносных ящиках для голосования;197.0;11;21;28;14;14;10;12;14;13;15;16;16;6;7
8;Число бюллетеней в стационарных ящиках для голосования;3747.0;176;273;240;274;240;255;333;173;261;229;263;308;339;383
9;Число недействительных бюллетеней;134.0;5;8;10;8;14;4;10;3;5;12;12;14;14;15
10;Число действительных бюллетеней;3810.0;182;286;258;280;240;261;335;184;269;232;267;310;331;375
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
