;name;overall;УИК №1421;УИК №1422;УИК №1423;УИК №1424;УИК №1425;УИК №1426;УИК №1427;УИК №1428;УИК №1429;УИК №1434;УИК №1435;УИК №1457;УИК №1459
14;Аверкин Михаил Александрович;438.0;35;29;34;29;36;38;29;40;39;31;23;58;17
15;Адамчук Лидия Николаевна;428.0;33;41;28;32;34;38;30;38;30;33;20;57;14
16;Алексеев Игорь Валерьевич;426.0;37;52;29;33;33;44;24;37;35;23;14;50;15
17;Андрианов Юрий Александрович;1635.0;101;110;74;101;140;111;113;122;99;72;83;323;186
18;Арзиманов Тимур Назирович;224.0;39;40;8;11;25;12;10;17;13;19;2;10;18
19;Башвеев Александр Викторович;268.0;12;15;13;28;24;24;14;24;49;17;10;28;10
20;Белявская Светлана Васильевна;386.0;23;36;28;33;40;37;21;28;32;21;18;49;20
21;Беляев Алексей Владимирович;364.0;26;24;22;25;33;38;23;31;32;26;23;50;11
22;Дудорова Ангелина Сергеевна;657.0;50;63;39;60;58;58;46;56;41;67;34;69;16
23;Клячковская Наталья Сергеевна;404.0;28;27;26;38;45;35;23;34;22;36;27;54;9
24;Кобец Михаил Михайлович;148.0;10;12;3;10;9;15;7;13;8;18;12;17;14
25;Ковалевская Елена Петровна;638.0;52;65;36;64;51;57;34;47;36;70;33;75;18
26;Козлова Ирина Викторовна;1691.0;107;125;89;119;131;103;119;122;87;86;85;331;187
27;Мазепина Светлана Сергеевна;297.0;39;22;22;15;28;30;14;14;18;30;15;38;12
28;Пикунов Степан Андреевич;536.0;45;54;30;64;46;53;30;37;32;58;20;54;13
29;Потапов Александр Викторович;459.0;31;26;17;30;51;61;49;36;35;25;16;46;36
30;Суродин Виктор Николаевич;1449.0;83;101;63;80;115;85;82;105;71;56;71;337;200
31;Чиркова Елизавета Константиновна;1617.0;122;133;84;103;137;95;95;112;80;72;82;326;176
32;Шишкин Сергей Владимирович;1340.0;75;98;69;95;105;83;95;93;72;48;69;301;137
33;Шункевич Татьяна Павловна;522.0;29;43;30;37;46;61;43;48;40;35;28;71;11
