;parameter;overall;УИК №1421;УИК №1422;УИК №1423;УИК №1424;УИК №1425;УИК №1426;УИК №1427;УИК №1428;УИК №1429;УИК №1434;УИК №1435;УИК №1457;УИК №1459
1;Число избирателей, внесенных в список;27875.0;2417;2527;2077;2363;2649;2574;2257;2378;2176;1977;1600;2562;318
2;Число бюллетеней, полученных участковой комиссией;21100.0;1800;1900;1500;1800;2000;1900;1700;1800;1600;1500;1200;1900;500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3299.0;295;294;192;253;314;289;255;303;262;211;177;308;146
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;17.0;1;2;1;3;2;0;3;1;0;1;0;3;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;570.0;24;21;11;19;23;18;6;8;12;4;4;264;156
6;Число погашенных бюллетеней;17231.0;1481;1585;1297;1528;1663;1593;1439;1489;1326;1285;1019;1328;198
7;Число бюллетеней в переносных ящиках для голосования;569.0;24;21;11;19;23;18;6;8;12;4;4;264;155
8;Число бюллетеней в стационарных ящиках для голосования;3316.0;296;296;193;256;316;289;258;304;262;212;177;311;146
9;Число недействительных бюллетеней;107.0;16;2;4;11;10;10;11;9;8;0;3;15;8
10;Число действительных бюллетеней;3778.0;304;315;200;264;329;297;253;303;266;216;178;560;293
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
