;name;overall;УИК №1430;УИК №1431;УИК №1432;УИК №1433;УИК №1451;УИК №1452;УИК №1453;УИК №1454;УИК №1455;УИК №1456;УИК №1458
14;Васильева Любовь Владимировна;435.0;29;54;42;44;20;26;22;24;61;35;78
15;Глотов Дмитрий Алексеевич;1393.0;62;127;118;94;58;58;60;137;168;179;332
16;Дмитриев Павел Геннадьевич;355.0;31;30;40;41;40;21;20;28;25;33;46
17;Жаркова Наталья Сергеевна;230.0;15;27;22;20;18;12;8;16;24;20;48
18;Козлачков Филипп Валерьевич;450.0;16;38;39;42;17;23;16;44;52;113;50
19;Кутузова Лариса Сергеевна;1654.0;70;132;139;103;68;79;72;223;254;249;265
20;Мамедов Камран Гамбарович;1106.0;57;99;103;90;55;52;45;124;141;150;190
21;Марченко Сергей Васильевич;362.0;26;28;38;42;35;25;42;22;31;39;34
22;Митяев Александр Константинович;159.0;12;13;16;14;13;12;3;13;20;20;23
23;Михайлова Татьяна Сергеевна;347.0;26;31;31;37;30;24;16;29;24;29;70
24;Мудраков Иван Николаевич;133.0;8;13;20;5;9;9;4;12;15;18;20
25;Мурзов Дмитрий Викторович;348.0;23;34;32;39;22;24;17;26;33;31;67
26;Нестеренко Александр Николаевич;456.0;37;57;51;58;40;26;24;32;39;32;60
27;Осипова Марина Сергеевна;451.0;40;40;54;54;23;32;20;34;34;49;71
28;Погосян Игорь Леонидович;185.0;16;12;20;16;12;14;6;12;19;20;38
29;Райцев Николай Дмитриевич;290.0;31;25;19;32;18;18;16;20;39;22;50
30;Рогозина Евгения Александровна;227.0;14;15;23;27;21;14;11;20;23;27;32
31;Сачко Александр Геннадьевич;257.0;11;7;17;21;20;6;9;10;19;16;121
32;Татарников Дмитрий Игоревич;316.0;22;25;34;36;32;27;40;16;18;32;34
33;Томиленко Максим Валерьевич;1164.0;59;91;101;66;41;42;51;120;126;149;318
34;Ульянов Евгений Александрович;353.0;29;32;40;53;34;20;27;19;27;30;42
35;Янов Александр Вячеславович;1272.0;64;137;112;90;56;64;60;133;154;174;228
