;parameter;overall;УИК №644;УИК №645;УИК №646;УИК №647
1;Число избирателей, внесенных в список;10922.0;2886;2678;2945;2413
2;Число бюллетеней, полученных участковой комиссией;7750.0;2050;1900;2100;1700
3;Число бюллетеней, выданных избирателям в помещении для голосования;1862.0;480;425;555;402
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;18.0;5;1;6;6
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;93.0;41;12;10;30
6;Число погашенных бюллетеней;5795.0;1529;1463;1535;1268
7;Число бюллетеней в переносных ящиках для голосования;93.0;41;12;10;30
8;Число бюллетеней в стационарных ящиках для голосования;1873.0;484;426;561;402
9;Число недействительных бюллетеней;59.0;14;9;17;19
10;Число действительных бюллетеней;1907.0;511;429;554;413
11;Число утраченных бюллетеней;0.0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0
