;name;overall;УИК №648;УИК №649;УИК №650;УИК №651;УИК №3434
14;Абулов Георгий Мерабович;50.0;16;10;8;8;8
15;Авдошкина Зинаида Николаевна;864.0;162;135;154;241;172
16;Былов Николай Владимирович;255.0;51;32;96;49;27
17;Василига Лилия Васильевна;93.0;18;20;11;21;23
18;Виноградов Виталий Анатольевич;191.0;47;39;29;43;33
19;Давыдова Елена Юрьевна;462.0;155;108;30;78;91
20;Донских Алевтина Борисовна;912.0;173;132;193;239;175
21;Енютин Артем Сергеевич;80.0;20;11;14;21;14
22;Звонков Олег Александрович;513.0;152;114;42;84;121
23;Качелин Александр Сергеевич;245.0;49;43;58;45;50
24;Курносов Андрей Юрьевич;173.0;37;33;35;30;38
25;Лаврова Наталия Ивановна;185.0;41;27;11;36;70
26;Лясников Иван Викторович;420.0;133;105;25;65;92
27;Макаренко Светлана Александровна;307.0;139;36;53;40;39
28;Максимычева Мария Александровна;787.0;136;111;160;234;146
29;Олексюк Наталья Борисовна;656.0;119;97;139;187;114
30;Омельченко Валерий Владимирович;163.0;29;16;60;26;32
31;Перелешина Анна Александровна;479.0;149;102;34;90;104
32;Савёлов Игорь Игоревич;219.0;44;34;36;38;67
33;Сегеда Иван Александрович;405.0;137;88;22;75;83
34;Семин Сергей Александрович;676.0;122;100;121;181;152
35;Слонов Никита Александрович;302.0;82;73;34;41;72
36;Соломатина Виктория Валерьевна;87.0;21;18;13;23;12
37;Фрумкин Леонид Ильич;239.0;48;38;29;41;83
38;Янин Олег Евгеньевич;199.0;41;18;53;44;43
