;name;overall;УИК №653;УИК №654;УИК №655;УИК №656;УИК №657;УИК №661;УИК №662;УИК №664;УИК №668
14;Алиева Елизавета Романовна;698.0;101;112;66;81;71;64;110;89;4
15;Бирковский Илья Станиславович;101.0;10;11;10;10;17;11;13;17;2
16;Болотин Владимир Геннадьевич;241.0;39;85;12;15;31;11;21;23;4
17;Буланов Евгений Викторович;137.0;13;11;16;21;14;18;25;14;5
18;Васюкова Анастасия Михайловна;124.0;19;23;15;7;9;14;13;22;2
19;Глушик Екатерина Федоровна;481.0;58;42;67;78;67;48;45;67;9
20;Грибкова Анна Владимировна;420.0;70;49;67;78;43;34;28;44;7
21;Епифанова Оксана Юрьевна;559.0;52;71;95;62;44;52;97;68;18
22;Железняк Алексей Александрович;259.0;22;21;25;26;25;46;58;34;2
23;Журавлев Николай Антонович;252.0;35;32;32;42;30;20;27;30;4
24;Зимников Дмитрий Константинович;157.0;19;19;21;20;13;16;27;19;3
25;Ивина Ольга Владимировна;78.0;19;7;5;6;11;8;10;10;2
26;Кедров Сергей Александрович;117.0;16;17;9;12;21;15;7;20;0
27;Клочков Дмитрий Владимирович;739.0;112;117;76;85;69;61;111;105;3
28;Комолов Олег Олегович;491.0;45;53;47;45;127;44;44;78;8
29;Леткова Татьяна Евгеньевна;617.0;61;77;103;67;46;62;101;80;20
30;Музыкантов Илья Игоревич;80.0;16;12;8;11;6;8;6;13;0
31;Нестеров Александр Валерьевич;168.0;25;18;11;20;22;19;26;25;2
32;Нестеров Евгений Сергеевич;385.0;36;72;46;40;58;31;33;60;9
33;Осипов Сергей Дмитриевич;267.0;59;30;32;32;24;30;31;26;3
34;Осипова Ирина Александровна;594.0;72;67;57;72;113;75;62;70;6
35;Плисецкий Евгений Евгеньевич;667.0;105;120;66;87;58;57;102;70;2
36;Преснецова Екатерина Ивановна;562.0;81;95;57;62;59;51;87;67;3
37;Решетников Сергей Евгеньевич;593.0;64;75;87;58;39;51;117;90;12
38;Рудакова Светлана Александровна;67.0;9;9;5;2;8;8;12;14;0
39;Салиенко Растислав Янович;39.0;2;7;6;5;1;4;1;13;0
40;Скугар-Скварский Ярослав Владимирович;395.0;32;72;20;39;26;45;69;81;11
41;Смирнов Михаил Львович;244.0;17;24;18;20;14;38;53;54;6
42;Старченко Владислав Сергеевич;175.0;24;18;30;25;23;22;15;15;3
43;Сычёв Сергей Евгеньевич;703.0;105;99;73;79;79;67;106;95;0
44;Хитьков Ярослав Владиславович;426.0;41;53;82;41;31;38;76;51;13
45;Шнейд-Миллер Лита Константиновна;60.0;6;8;9;7;8;6;6;9;1
46;Шупов Владимир Владимирович;470.0;43;50;68;49;28;49;106;64;13
