;parameter;overall;УИК №653;УИК №654;УИК №655;УИК №656;УИК №657;УИК №661;УИК №662;УИК №664;УИК №668
1;Число избирателей, внесенных в список;17439.0;1975;2107;1861;2166;2068;2172;2483;2337;270
2;Число бюллетеней, полученных участковой комиссией;11800.0;1300;1400;1200;1500;1400;1500;1700;1600;200
3;Число бюллетеней, выданных избирателям в помещении для голосования;2694.0;338;390;287;293;267;264;390;413;52
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;41.0;6;5;2;5;2;8;4;9;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;215.0;36;34;31;25;31;21;24;12;1
6;Число погашенных бюллетеней;8891.0;926;976;882;1182;1102;1215;1286;1175;147
7;Число бюллетеней в переносных ящиках для голосования;214.0;36;34;31;25;31;21;23;12;1
8;Число бюллетеней в стационарных ящиках для голосования;2730.0;344;394;289;297;269;272;391;422;52
9;Число недействительных бюллетеней;97.0;11;16;12;6;2;14;7;23;6
10;Число действительных бюллетеней;2847.0;369;412;308;316;298;279;407;411;47
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0
