;parameter;overall;УИК №658;УИК №659;УИК №660;УИК №663;УИК №665;УИК №666;УИК №667;УИК №669
1;Число избирателей, внесенных в список;17863.0;2335;2422;2209;2127;1839;2484;2024;2423
2;Число бюллетеней, полученных участковой комиссией;12000.0;1600;1600;1500;1400;1200;1700;1400;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;2791.0;375;387;418;348;311;347;305;300
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;43.0;5;2;11;6;6;6;4;3
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;204.0;34;38;27;12;21;29;19;24
6;Число погашенных бюллетеней;9005.0;1191;1175;1055;1040;868;1324;1076;1276
7;Число бюллетеней в переносных ящиках для голосования;204.0;34;38;27;12;21;29;19;24
8;Число бюллетеней в стационарных ящиках для голосования;2827.0;380;387;429;352;315;353;309;302
9;Число недействительных бюллетеней;80.0;6;5;11;12;7;10;16;13
10;Число действительных бюллетеней;2951.0;408;420;445;352;329;372;312;313
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0
