;name;overall;УИК №1460;УИК №1461;УИК №1462;УИК №1463;УИК №1464;УИК №1465;УИК №1466;УИК №1467;УИК №1468;УИК №1469;УИК №1470;УИК №1471;УИК №1472;УИК №1473;УИК №1474;УИК №1475;УИК №1478
14;Агеев Денис Александрович;1982.0;113;138;94;154;180;101;118;100;111;86;107;126;104;147;101;95;107
15;Александров Алексей Федорович;700.0;41;38;53;47;22;37;52;42;47;35;43;54;24;24;58;34;49
16;Владимиров Олег Иванович;1792.0;108;126;103;153;187;84;107;84;94;71;100;137;88;127;73;63;87
17;Ганночка Татьяна Ивановна;532.0;28;24;35;27;89;28;35;21;32;26;27;26;20;32;30;18;34
18;Гуличева Елена Геннадьевна;826.0;35;42;52;49;34;42;42;33;54;32;65;92;32;55;55;56;56
19;Гурьев Вадим Иванович;592.0;23;37;43;32;55;35;37;30;35;28;35;44;12;35;30;35;46
20;Демикова Оксана Игоревна;483.0;26;27;30;28;53;25;29;16;32;21;32;34;20;29;16;32;33
21;Иванцов Сергей Николаевич;798.0;64;37;49;50;102;52;55;28;48;33;44;52;44;36;28;31;45
22;Козадаев Сергей Сергеевич;991.0;51;112;32;148;178;34;29;22;33;29;35;57;23;80;84;17;27
23;Коцюба Владислав Вадимович;319.0;22;17;14;23;11;25;21;33;26;15;10;20;10;20;20;14;18
24;Мазуев Артур Арвиевич;1451.0;87;133;69;155;179;64;90;59;73;52;79;81;58;94;66;57;55
25;Меркулов Артем Владимирович;347.0;17;6;28;19;36;20;18;30;18;12;38;24;21;14;15;13;18
26;Меркулов Денис Валерьевич;591.0;27;7;23;52;40;25;40;37;69;30;60;37;35;33;27;17;32
27;Мещеряков Виктор Юрьевич;333.0;14;9;33;30;43;15;24;15;16;17;10;21;18;10;12;19;27
28;Морковкин Александр Валерьевич;537.0;21;18;38;27;22;45;31;27;36;19;49;49;28;44;30;27;26
29;Салтыкова Татьяна Андреевна;1998.0;116;125;109;157;185;127;113;93;95;83;115;165;97;117;137;80;84
30;Смирнов Сергей Николаевич;753.0;32;24;59;41;42;54;67;46;54;40;34;48;38;46;33;35;60
31;Соболева Галина Александровна;629.0;24;18;64;33;49;39;42;55;43;27;37;35;28;31;21;38;45
32;Чернышев Александр Иванович;1750.0;119;54;127;142;126;118;131;104;115;99;94;81;108;73;88;71;100
33;Щербина Михаил Викторович;354.0;25;15;29;16;31;25;27;16;16;17;21;17;19;20;14;18;28
