;parameter;overall;УИК №1491;УИК №1492;УИК №1493;УИК №1494;УИК №1495;УИК №1506;УИК №1507;УИК №1508;УИК №1509;УИК №1510;УИК №1511;УИК №1512;УИК №1521;УИК №1522;УИК №1523;УИК №1524;УИК №1525
1;Число избирателей, внесенных в список;41623.0;2580;2621;2620;2414;2685;2161;2447;2515;2278;2585;2794;2804;2086;2100;2393;2344;2196
2;Число бюллетеней, полученных участковой комиссией;25500.0;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;4983.0;263;277;303;267;284;232;326;309;294;289;333;365;257;216;278;268;422
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;7.0;0;2;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;152.0;5;11;4;14;2;19;16;10;6;11;3;9;6;10;9;15;2
6;Число погашенных бюллетеней;20365.0;1232;1212;1193;1219;1214;1249;1158;1181;1200;1200;1164;1126;1237;1274;1213;1217;1076
7;Число бюллетеней в переносных ящиках для голосования;152.0;5;11;4;14;2;19;16;10;6;11;3;9;6;10;9;15;2
8;Число бюллетеней в стационарных ящиках для голосования;4975.0;261;278;299;267;284;233;327;307;294;289;333;366;257;217;279;268;416
9;Число недействительных бюллетеней;178.0;9;11;14;14;8;13;16;10;11;6;9;9;6;13;12;5;12
10;Число действительных бюллетеней;4949.0;257;278;289;267;278;239;327;307;289;294;327;366;257;214;276;278;406
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
