;name;overall;УИК №3226;УИК №3227;УИК №3228;УИК №3229;УИК №3230;УИК №3231;УИК №3232;УИК №3233;УИК №3234;УИК №3235;УИК №3236;УИК №3237
14;Абрамова Ольга Ивановна;233.0;28;26;27;16;12;9;19;16;23;15;25;17
15;Акимов Вадим Алексеевич;247.0;24;12;25;24;7;18;18;22;32;24;24;17
16;Алекса Виктор Анастасьевич;554.0;46;41;42;70;25;29;37;43;88;39;61;33
17;Алексеев Лев Алексеевич;263.0;20;12;34;22;11;21;24;23;29;23;23;21
18;Антонов Александр Павлович;149.0;20;14;20;8;6;10;9;12;16;13;10;11
19;Белова Юлия Вячеславовна;158.0;12;14;18;16;7;3;12;15;21;6;23;11
20;Богорова Элеонора Дмитриевна;233.0;22;13;30;27;10;15;15;16;26;16;23;20
21;Бронштейн Владимир Валентинович;103.0;16;10;10;13;5;7;7;6;10;4;8;7
22;Голофеев Вячеслав Александрович;110.0;14;12;13;9;1;5;2;7;13;12;12;10
23;Дороничева Светлана Владимировна;927.0;82;61;116;64;65;83;105;80;75;54;84;58
24;Кузнецов Анатолий Закирович;857.0;81;60;104;62;52;83;83;81;69;56;70;56
25;Лебедев Алексей Михайлович;195.0;18;17;18;14;11;10;23;12;21;22;15;14
26;Луконина Лариса Михайловна;152.0;12;12;19;16;2;9;14;6;20;13;15;14
27;Овчинникова Елена Эдуардовна;828.0;75;63;109;61;53;81;78;72;71;54;64;47
28;Постников Александр Валентинович;174.0;17;12;16;19;8;11;14;13;18;19;14;13
29;Румянцев Сергей Евгеньевич;254.0;21;17;25;29;11;17;11;21;40;24;21;17
30;Садовников Станислав Владимирович;865.0;72;61;107;55;60;76;94;72;83;49;75;61
31;Солдатова-Федотова Мария Александровна;303.0;24;34;20;35;17;16;28;15;45;20;24;25
32;Уткин Владимир Валерьевич;352.0;41;29;28;41;17;28;26;28;41;20;33;20
33;Чалык Людмила Владимировна;241.0;17;20;20;14;14;15;21;19;35;24;23;19
34;Шамне Лариса Георгиевна;844.0;70;55;105;65;60;85;79;70;71;51;77;56
