;parameter;overall;УИК №1080;УИК №1081;УИК №1082;УИК №1083;УИК №1084;УИК №1091;УИК №1092
1;Число избирателей, внесенных в список;10801.0;1898;1818;1755;1604;1621;1961;144
2;Число бюллетеней, полученных участковой комиссией;7800.0;1350;1300;1250;1150;1150;1400;200
3;Число бюллетеней, выданных избирателям в помещении для голосования;1861.0;338;294;267;355;318;273;16
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;8.0;0;1;2;3;1;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;246.0;22;25;38;24;29;14;94
6;Число погашенных бюллетеней;5693.0;990;981;945;771;803;1113;90
7;Число бюллетеней в переносных ящиках для голосования;246.0;22;25;38;24;29;14;94
8;Число бюллетеней в стационарных ящиках для голосования;1865.0;337;295;269;355;319;274;16
9;Число недействительных бюллетеней;64.0;7;9;9;14;11;10;4
10;Число действительных бюллетеней;2047.0;352;311;298;365;337;278;106
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0
