;name;overall;УИК №1085;УИК №1086;УИК №1087;УИК №1088;УИК №1089;УИК №1090
14;Власов Алексей Михайлович;421.0;56;72;75;67;67;84
15;Воробьев Иван Михайлович;331.0;45;41;65;52;64;64
16;Денисова Людмила Эдуардовна;272.0;22;60;42;44;47;57
17;Качнов Николай Павлович;381.0;48;69;90;68;44;62
18;Коваленко Николай Тимофеевич;416.0;41;68;71;87;67;82
19;Корженевский Игорь Борисович;643.0;66;127;118;100;112;120
20;Кузнецов Дмитрий Эдуардович;571.0;68;112;105;74;106;106
21;Кулиш Антон Сергеевич;442.0;56;80;92;80;62;72
22;Кучеркова Татьяна Ивановна;142.0;17;24;16;29;28;28
23;Лобанов Александр Николаевич;122.0;11;18;16;23;26;28
24;Машенских Галина Николаевна;266.0;34;40;42;50;41;59
25;Мецлер Андрей Владимирович;454.0;57;93;91;61;80;72
26;Наумкина Татьяна Николаевна;662.0;80;130;120;96;113;123
27;Попов Андрей Владимирович;505.0;61;105;88;75;95;81
28;Разумова Татьяна Евгеньевна;105.0;11;19;15;15;21;24
29;Рубан Артур Викторович;109.0;30;14;15;7;17;26
30;Султанов Марат Маликбегович;174.0;19;28;38;24;31;34
31;Фролов Александр Александрович;89.0;8;11;13;16;19;22
