;parameter;overall;УИК №1085;УИК №1086;УИК №1087;УИК №1088;УИК №1089;УИК №1090
1;Число избирателей, внесенных в список;10869.0;1402;1994;1795;1873;1849;1956
2;Число бюллетеней, полученных участковой комиссией;7650.0;1000;1400;1250;1300;1300;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;1704.0;226;282;310;283;281;322
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;6.0;1;0;1;2;2;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;85.0;19;19;11;16;12;8
6;Число погашенных бюллетеней;5861.0;755;1099;929;1001;1007;1070
7;Число бюллетеней в переносных ящиках для голосования;85.0;19;19;11;16;12;8
8;Число бюллетеней в стационарных ящиках для голосования;1703.0;226;281;306;285;283;322
9;Число недействительных бюллетеней;40.0;8;4;4;9;7;8
10;Число действительных бюллетеней;1748.0;237;296;313;292;288;322
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0
