;name;overall;УИК №64;УИК №67;УИК №68;УИК №69;УИК №70;УИК №71;УИК №72
14;Аксенова Ольга Александровна;982.0;134;163;95;146;137;157;150
15;Беззубова Елена Анатольевна;859.0;83;138;120;102;125;160;131
16;Бондаренко Алексей Андреевич;505.0;88;74;59;67;52;103;62
17;Голубева Светлана Александровна;260.0;48;37;25;38;27;49;36
18;Грачев Алексей Витальевич;445.0;62;67;42;61;58;86;69
19;Демидов Антон Владимирович;505.0;81;91;51;64;65;99;54
20;Егорычева Светлана Викторовна;386.0;97;43;39;72;48;52;35
21;Епифанова Вероника Валерьевна;774.0;73;132;94;95;96;130;154
22;Иванова-Голицина Ольга Эдуардовна;878.0;113;143;132;116;98;147;129
23;Калужин Павел Борисович;895.0;114;156;79;149;121;136;140
24;Ковалевский Денис Григорьевич;989.0;141;169;89;176;134;146;134
25;Комаров Алексей Владимирович;258.0;31;39;25;37;35;50;41
26;Марков Евгений Андреевич;271.0;51;31;35;47;31;45;31
27;Нестерова Светлана Ивановна;218.0;19;36;27;30;34;36;36
28;Нуждин-Белинский Николай Дмитриевич;324.0;64;41;42;55;38;52;32
29;Полукеев Николай Олегович;585.0;83;88;62;85;52;114;101
30;Прохоренкова Анастасия Николаевна;107.0;15;12;13;20;10;22;15
31;Рейнхиммель Юрий Александрович;947.0;134;150;81;169;140;134;139
32;Ретеюм Алексей Александрович;927.0;111;151;105;134;125;156;145
33;Ржевский Роман Александрович;98.0;20;6;18;19;12;15;8
34;Рыбачук Валерий Геннадьевич;143.0;21;16;14;31;15;26;20
35;Середина Надежда Митрофановна;90.0;14;9;17;15;6;11;18
36;Скороходова Елена Дмитриевна;442.0;51;70;36;63;63;70;89
37;Толмачева Надежда Сергеевна;948.0;108;149;126;130;120;164;151
38;Чулков Николай Константинович;253.0;42;38;25;51;29;38;30
39;Шингаркин Юрий Юрьевич;118.0;7;16;11;22;15;28;19
