;parameter;overall;УИК №2914;УИК №2915;УИК №2916;УИК №2917;УИК №2918;УИК №2919;УИК №2920;УИК №2921;УИК №2922;УИК №2925;УИК №2930;УИК №2931
1;Число избирателей, внесенных в список;28217.0;2924;2930;531;2810;2314;2584;2515;2328;2372;2619;2200;2090
2;Число бюллетеней, полученных участковой комиссией;19200.0;2000;2000;300;1900;1600;1800;1700;1600;1600;1800;1500;1400
3;Число бюллетеней, выданных избирателям в помещении для голосования;3545.0;386;392;74;375;276;306;330;303;306;311;232;254
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;76.0;13;7;0;6;2;6;10;10;7;5;6;4
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;141.0;31;22;0;8;16;3;8;9;8;19;8;9
6;Число погашенных бюллетеней;15514.0;1583;1586;226;1517;1308;1491;1362;1288;1286;1470;1260;1137
7;Число бюллетеней в переносных ящиках для голосования;141.0;31;22;0;8;16;3;8;9;8;19;8;9
8;Число бюллетеней в стационарных ящиках для голосования;3606.0;399;399;74;375;278;311;340;313;306;316;238;257
9;Число недействительных бюллетеней;76.0;9;1;0;9;7;14;1;5;6;8;6;10
10;Число действительных бюллетеней;3671.0;421;420;74;374;287;300;347;317;308;327;240;256
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0
