;parameter;overall;УИК №2923;УИК №2924;УИК №2952;УИК №2953;УИК №2954;УИК №2956;УИК №2957;УИК №2958;УИК №2959;УИК №2960;УИК №2961;УИК №2962;УИК №2963
1;Число избирателей, внесенных в список;30272.0;2576;2334;2641;2735;3009;2815;1279;2332;2742;1846;1923;1821;2219
2;Число бюллетеней, полученных участковой комиссией;20500.0;1800;1600;1800;1900;2000;1900;800;1600;1900;1200;1300;1200;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;3495.0;272;253;286;295;321;298;142;305;300;255;286;235;247
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;45.0;2;4;1;3;4;3;1;4;3;8;3;4;5
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;169.0;10;37;23;34;15;2;3;3;8;10;8;3;13
6;Число погашенных бюллетеней;16836.0;1518;1310;1491;1571;1664;1600;655;1292;1592;935;1006;962;1240
7;Число бюллетеней в переносных ящиках для голосования;169.0;10;37;23;34;15;2;3;3;8;10;8;3;13
8;Число бюллетеней в стационарных ящиках для голосования;3525.0;274;257;286;298;325;298;143;309;300;255;289;239;252
9;Число недействительных бюллетеней;80.0;2;7;4;10;10;2;5;9;5;4;6;10;6
10;Число действительных бюллетеней;3614.0;282;287;305;322;330;298;141;303;303;261;291;232;259
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
