;name;overall;УИК №2630;УИК №2631;УИК №2632;УИК №2633;УИК №2634;УИК №2635;УИК №2636;УИК №2637;УИК №2638;УИК №2639;УИК №2659;УИК №2660;УИК №2661;УИК №2662;УИК №2663;УИК №2664;УИК №2665;УИК №2666
14;Ашихмин Андрей Евгеньевич;507.0;35;20;25;31;36;30;24;22;26;29;21;21;26;36;40;26;22;37
15;Бондаренко Кристина Сергеевна;287.0;14;18;18;14;24;12;14;13;14;22;9;19;16;21;15;9;23;12
16;Бусыгина Елена Филипповна;1493.0;81;77;58;60;90;61;85;96;71;96;98;111;77;100;75;88;85;84
17;Гаврилюк Наджие Энверовна;1209.0;67;60;58;51;65;49;59;59;62;62;92;96;67;85;69;72;71;65
18;Гарифуллин Камиль Ринатович;1084.0;92;84;59;37;61;54;47;31;51;31;30;53;55;76;88;77;64;94
19;Давыдова Марина Васильевна;1307.0;75;50;58;52;81;52;71;64;68;83;91;102;71;90;71;67;85;76
20;Домнин Геннадий Евгеньевич;1178.0;70;55;56;47;71;51;58;62;51;59;89;91;64;74;68;82;73;57
21;Жилин Денис Михайлович;1630.0;117;94;86;51;106;83;72;53;69;67;81;99;112;100;123;102;90;125
22;Захаркин Руслан Игоревич;701.0;33;72;122;73;41;18;19;18;9;16;19;21;22;53;42;43;48;32
23;Кондрушина Наталья Анатольевна;539.0;39;21;32;53;47;40;26;23;24;32;28;21;21;32;29;17;21;33
24;Низовцев Антон Юрьевич;1077.0;89;56;55;37;69;48;56;36;47;39;60;68;75;65;83;54;53;87
25;Ребяцков Денис Игоревич;258.0;15;14;21;12;14;13;12;12;14;10;11;13;18;22;20;11;13;13
26;Сафонов Александр Владимирович;332.0;12;24;18;12;23;20;23;24;15;12;17;24;17;19;22;9;25;16
27;Сидоренко Антон Анатольевич;533.0;40;26;18;19;34;24;24;22;26;21;31;33;32;33;37;25;41;47
28;Смирнов Павел Валерьевич;1222.0;98;96;70;54;69;75;70;32;42;35;43;64;61;83;101;76;57;96
29;Судакова Людмила Владимировна;441.0;36;23;16;14;34;23;23;20;23;17;23;30;24;25;33;24;20;33
30;Тимашов Виталий Васильевич;326.0;16;18;7;14;17;19;16;15;18;19;13;20;20;19;32;20;16;27
31;Турбовец Олег Игоревич;388.0;27;33;11;8;25;28;32;13;22;28;15;19;23;24;21;20;13;26
32;Фазлулина Малика Энверовна;1047.0;87;84;60;55;69;58;53;35;37;39;39;55;51;58;76;67;51;73
33;Чамовских Сергей Николаевич;1241.0;74;54;49;55;70;53;63;71;52;68;91;94;60;84;68;89;81;65
