;parameter;overall;УИК №389;
1;Число избирателей, внесенных в список;2951.0;2951;
2;Число бюллетеней, полученных участковой комиссией;1423.0;1423;
3;Число бюллетеней, выданных избирателям в помещении для голосования;889.0;889;
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;13.0;13;
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;50.0;50;
6;Число погашенных бюллетеней;484.0;484;
7;Число бюллетеней в переносных ящиках для голосования;49.0;49;
8;Число бюллетеней в стационарных ящиках для голосования;898.0;898;
9;Число недействительных бюллетеней;27.0;27;
10;Число действительных бюллетеней;920.0;920;
11;Число утраченных бюллетеней;0.0;0;
12;Число бюллетеней, не учтенных при получении;0.0;0;
