;name;overall;УИК №3416;
14;Ананьев Дмитрий Александрович;73.0;73;
15;Баковкин Владимир Николаевич;135.0;135;
16;Гречкин Евгений Иванович;15.0;15;
17;Киселев Дмитрий Михайлович;47.0;47;
18;Кондитерова Елена Юрьевна;319.0;319;
19;Копин Станислав Анатольевич;92.0;92;
20;Красюк Вадим Николаевич;100.0;100;
21;Кузьмина Валентина Константиновна;211.0;211;
22;Курлянцев Алексей Владимирович;109.0;109;
23;Лыкова Нина Васильевна;153.0;153;
24;Макеев Михаил Евгеньевич;9.0;9;
25;Малинин Алексей Юрьевич;4.0;4;
26;Миллер Дмитрий Георгиевич;5.0;5;
27;Неделько Ростислав Вячеславович;58.0;58;
28;Османкин Виктор Александрович;56.0;56;
29;Петров Андрей Модестович;47.0;47;
30;Петров Андрей Юрьевич;325.0;325;
31;Пономарёв Виталий Константинович;188.0;188;
32;Рябов Владимир Григорьевич;161.0;161;
33;Седунов Алексей Владимирович;134.0;134;
34;Силина Ирина Германовна;44.0;44;
35;Тимонин Павел Геннадьевич;427.0;427;
36;Третьяков Владимир Владимирович;308.0;308;
37;Умников Антон Геннадьевич;22.0;22;
38;Цветаев Михаил Владимирович;34.0;34;
39;Чернов Богдан Александрович;70.0;70;
40;Шинкаренко Андрей Михайлович;374.0;374;
41;Юшков Дмитрий Николаевич;18.0;18;
