;parameter;overall;УИК №1822;УИК №1823;УИК №1824;УИК №1831;УИК №1834;УИК №1835;УИК №1836;УИК №1837;УИК №1838;УИК №1839
1;Число избирателей, внесенных в список;22728.0;2897;2572;2593;2398;1962;2115;2484;2285;1602;1820
2;Число бюллетеней, полученных участковой комиссией;17000.0;2300;1900;1900;1900;1400;1500;1800;1700;1100;1500
3;Число бюллетеней, выданных избирателям в помещении для голосования;2928.0;367;337;323;251;339;261;333;258;251;208
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;51.0;5;10;8;4;7;8;6;2;1;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;92.0;15;20;9;10;0;3;4;3;12;16
6;Число погашенных бюллетеней;13980.0;1918;1543;1568;1639;1061;1236;1463;1439;837;1276
7;Число бюллетеней в переносных ящиках для голосования;92.0;15;20;9;10;0;3;4;3;12;16
8;Число бюллетеней в стационарных ящиках для голосования;2963.0;371;345;330;255;346;267;332;257;252;208
9;Число недействительных бюллетеней;81.0;4;10;10;10;9;12;5;3;8;10
10;Число действительных бюллетеней;2974.0;382;355;329;255;337;258;331;257;256;214
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
