;name;overall;УИК №1840;УИК №1841;УИК №1842;УИК №1843;УИК №1844;УИК №1845;УИК №1846;УИК №1847;УИК №1848;УИК №1849
14;Бернев Владимир Владимирович;198.0;12;18;12;18;22;20;16;22;33;25
15;Демин Станислав Юрьевич;302.0;22;19;21;32;17;31;25;39;48;48
16;Дмитриева Ирина Евгеньевна;162.0;19;26;12;11;12;23;16;18;13;12
17;Зубов Виктор Сергеевич;655.0;63;47;47;57;52;49;63;73;104;100
18;Каминский Юрий Викторович;1184.0;105;137;86;147;116;117;99;122;149;106
19;Кузнецов Дмитрий Александрович;786.0;77;68;53;66;62;57;90;89;116;108
20;Кузнецова Светлана Александровна;261.0;29;25;18;18;28;22;26;24;48;23
21;Лазуткин Андрей Борисович;1057.0;84;97;79;135;105;124;95;114;124;100
22;Мешкова Татьяна Сергеевна;377.0;53;39;29;28;24;28;24;43;59;50
23;Мизевич Сергей Григорьевич;152.0;13;22;10;17;11;12;11;18;22;16
24;Михарева Наталья Борисовна;1286.0;98;110;87;148;118;153;124;158;170;120
25;Мусатов Вадим Владимирович;160.0;22;19;11;20;8;13;14;19;24;10
26;Никатина Анастасия Викторовна;232.0;27;30;22;19;14;30;14;29;23;24
27;Новикова Ирина Владимировна;164.0;16;26;8;13;14;12;14;22;22;17
28;Плиев Роланд Аронович;206.0;20;19;21;25;11;28;16;19;26;21
29;Рогова Елена Сергеевна;1121.0;83;114;81;136;113;123;104;127;137;103
30;Сафонова Татьяна Владимировна;1055.0;71;92;93;134;105;115;91;126;119;109
31;Сеталова Кристина Михайловна;254.0;28;28;13;24;13;32;17;42;29;28
32;Сорокин Антон Андреевич;220.0;20;27;21;31;13;17;14;28;34;15
33;Чаплыгина Галина Николаевна;205.0;25;25;19;21;16;13;24;14;30;18
34;Чачина Екатерина Петровна;454.0;63;54;37;40;30;33;34;48;65;50
35;Шоричева Людмила Семеновна;243.0;25;29;24;27;11;32;18;22;33;22
36;Щербаков Максим Сергеевич;734.0;76;57;46;65;57;54;69;73;132;105
37;Щербакова Татьяна Михайловна;198.0;16;17;11;26;11;18;11;19;40;29
