;parameter;overall;УИК №1874;УИК №1875;УИК №1876;УИК №1877;УИК №1878;УИК №1879;УИК №1880;УИК №1881;УИК №1882;УИК №1883;УИК №1884;УИК №1885;УИК №1886;УИК №1887;УИК №1888;УИК №1894
1;Число избирателей, внесенных в список;32687.0;1135;1426;1700;2586;2223;2018;2302;2043;2591;2318;2407;1963;1943;2524;2384;1124
2;Число бюллетеней, полученных участковой комиссией;23060.0;810;1010;1190;1820;1590;1430;1620;1430;1830;1640;1690;1380;1370;1780;1690;780
3;Число бюллетеней, выданных избирателям в помещении для голосования;3982.0;149;144;235;262;211;272;273;241;279;297;307;252;250;365;314;131
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;38.0;0;0;3;4;1;4;2;2;4;3;2;3;1;3;4;2
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;280.0;17;13;6;30;19;21;17;28;7;30;16;14;21;22;16;3
6;Число погашенных бюллетеней;18798.0;644;853;949;1528;1360;1137;1330;1161;1544;1313;1367;1114;1099;1393;1360;646
7;Число бюллетеней в переносных ящиках для голосования;280.0;17;13;6;30;19;21;17;28;7;30;16;14;21;22;16;3
8;Число бюллетеней в стационарных ящиках для голосования;3983.0;149;144;238;262;212;272;273;220;283;300;309;255;250;365;318;133
9;Число недействительных бюллетеней;184.0;6;6;27;14;11;13;5;15;5;8;11;22;13;6;15;7
10;Число действительных бюллетеней;4079.0;160;151;217;278;220;280;285;233;285;322;314;247;258;381;319;129
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
