;parameter;overall;УИК №1896;УИК №1897;УИК №1898;УИК №1899;УИК №1900;УИК №1901;УИК №1902;УИК №1903;УИК №1904;УИК №1905;УИК №1906
1;Число избирателей, внесенных в список;22381.0;2582;1946;2240;2048;1942;1948;2198;2037;277;2471;2692
2;Число бюллетеней, полученных участковой комиссией;16200.0;1900;1400;1600;1500;1400;1400;1600;1500;200;1800;1900
3;Число бюллетеней, выданных избирателям в помещении для голосования;2772.0;381;231;219;288;248;244;273;212;33;262;381
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;31.0;1;3;4;3;1;0;1;1;0;6;11
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;177.0;30;25;20;6;9;32;18;9;0;16;12
6;Число погашенных бюллетеней;13251.0;1489;1144;1361;1206;1143;1124;1309;1279;167;1522;1507
7;Число бюллетеней в переносных ящиках для голосования;177.0;30;25;20;6;9;32;18;9;0;16;12
8;Число бюллетеней в стационарных ящиках для голосования;2770.0;381;234;221;288;239;231;273;213;32;268;390
9;Число недействительных бюллетеней;108.0;15;10;5;4;13;11;14;9;1;10;16
10;Число действительных бюллетеней;2839.0;396;249;236;290;235;252;277;213;31;274;386
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0
