;name;overall;УИК №1907;УИК №1908;УИК №1909;УИК №1910;УИК №1911;УИК №1912;УИК №1913;УИК №1914;УИК №1915;УИК №1916
14;Алехина Любовь Александровна;467.0;12;65;61;43;38;48;58;53;32;57
15;Борисов Сергей Викторович;448.0;8;64;60;56;48;44;48;37;33;50
16;Боровой Артём Владимирович;744.0;26;89;86;57;79;69;103;86;65;84
17;Бочарникова Анна Вадимовна;595.0;11;86;70;67;38;61;127;40;49;46
18;Галин Илья Михайлович;161.0;4;17;17;15;29;13;20;11;12;23
19;Дормидонтова Ольга Васильевна;264.0;8;35;26;29;26;29;31;30;19;31
20;Ермишин Игорь Николаевич;635.0;20;39;84;53;49;78;163;50;58;41
21;Жарикова Наталия Владимировна;996.0;42;235;89;89;101;85;84;79;106;86
22;Зуев Юрий Иванович;198.0;5;24;19;20;21;22;22;23;24;18
23;Кормилицын Александр Анатольевич;196.0;5;25;23;29;15;26;19;20;14;20
24;Кругликов Владимир Владимирович;547.0;10;59;55;51;40;73;128;42;45;44
25;Кузьмина Ирина Львовна;141.0;3;18;16;15;13;15;21;15;12;13
26;Маслова Наталья Александровна;465.0;14;42;55;33;40;63;110;40;36;32
27;Мишина Наталья Владимировна;175.0;9;16;24;17;21;17;26;11;17;17
28;Нерсесян Лариса Саркисовна;792.0;38;179;63;74;87;67;62;53;96;73
29;Папян Айк Гришаевич;111.0;2;5;12;12;16;9;18;8;10;19
30;Соломанин Анатолий Иванович;180.0;5;19;22;18;21;18;22;14;18;23
31;Старостинская Анастасия Сергеевна;461.0;13;22;56;45;36;60;119;33;42;35
32;Сухов Олег Владимирович;917.0;39;213;88;87;90;69;66;76;114;75
33;Филиппова Татьяна Викторовна;957.0;43;177;95;106;96;83;85;76;120;76
34;Черникова Светлана Алексеевна;947.0;41;175;88;94;97;79;90;77;122;84
