;name;overall;УИК №1529;УИК №1530;УИК №1531;УИК №1533;УИК №1535
14;Акимова Надежда Александровна;145.0;24;47;22;14;38
15;Артемьев Александр Николаевич;847.0;109;247;123;141;227
16;Вяткина Ольга Владимировна;744.0;94;200;101;138;211
17;Герасимов Артем Валерьевич;104.0;10;31;18;13;32
18;Киселева Мария Ивановна;705.0;85;197;99;125;199
19;Короткова Юлия Сергеевна;159.0;23;50;24;24;38
20;Котова Наталья Александровна;336.0;31;125;40;62;78
21;Кругликов Станислав Аркадьевич;94.0;11;32;12;18;21
22;Львова Елена Васильевна;643.0;74;163;87;117;202
23;Мамонтов Сергей Викторович;633.0;66;201;87;108;171
24;Остранков Никита Евгеньевич;147.0;18;43;16;33;37
25;Рубец Елена Владимировна;164.0;22;52;28;27;35
26;Рязанов Владислав Александрович;102.0;10;35;16;14;27
27;Сытник Григорий Валерьевич;90.0;10;30;11;10;29
28;Ухаботина Ирина Витальевна;720.0;83;188;105;135;209
29;Чиркова Ольга Михайловна;308.0;30;100;40;56;82
30;Юрилина Людмила Михайловна;317.0;37;108;30;50;92
