;name;overall;УИК №1532;УИК №3413;УИК №3418;УИК №3419
14;Андриенко Андрей Андреевич;334.0;74;59;52;149
15;Богачев Александр Владимирович;141.0;25;40;46;30
16;Валуйский Владислав Вячеславович;255.0;71;46;63;75
17;Веселов Александр Петрович;217.0;34;48;57;78
18;Гавриков Владимир Вадимович;173.0;26;34;42;71
19;Дегтярев Олег Николаевич;430.0;123;102;122;83
20;Казаков Андрей Алексеевич;398.0;110;89;121;78
21;Катыкин Михаил Михайлович;132.0;29;22;31;50
22;Каюмов Алексей Владиславович;153.0;36;30;36;51
23;Косаренко Юрий Юрьевич;74.0;18;16;23;17
24;Кочуров Александр Иванович;98.0;20;33;20;25
25;Кочуров Юрий Иванович;89.0;15;30;19;25
26;Малютина Ольга Витальевна;484.0;129;114;142;99
27;Некрасова Ирина Александровна;89.0;29;22;17;21
28;Нестеров Борис Кириллович;67.0;13;24;13;17
29;Райченко Максим Владимирович;51.0;9;9;12;21
30;Расторгуева Анастасия Александровна;315.0;59;50;50;156
31;Румянцева Екатерина Владимировна;149.0;24;38;34;53
32;Семенова Елена Николаевна;538.0;127;141;152;118
33;Силина Лада Владимировна;445.0;118;97;116;114
34;Ситниченко Михаил Николаевич;290.0;52;46;50;142
35;Скрипка Иван Романович;158.0;35;25;41;57
