;name;overall;УИК №1540;УИК №1541;УИК №1542;УИК №1544;УИК №1545;УИК №1546
14;Алексеев Алексей Алексеевич;168.0;30;22;22;35;41;18
15;Аперян Манвел Седракович;873.0;131;86;166;233;171;86
16;Безрукина Людмила Павловна;360.0;75;49;64;61;75;36
17;Бочкарев Александр Викторович;160.0;28;18;25;30;41;18
18;Буевич Анатолий Петрович;151.0;23;18;20;37;30;23
19;Воробьёв Анатолий Иванович;731.0;83;70;117;224;145;92
20;Ерастов Георгий Валерьевич;230.0;42;40;37;34;45;32
21;Здобнова Наталья Николаевна;797.0;90;78;127;233;166;103
22;Какоткина Оксана Анатольевна;148.0;26;28;21;26;27;20
23;Клочков Михаил Иванович;666.0;70;59;109;207;149;72
24;Курбатова Анна Игоревна;354.0;63;48;53;56;92;42
25;Нагих Александр Алексеевич;67.0;9;10;6;19;17;6
26;Назаров Роман Иванович;98.0;14;14;14;22;24;10
27;Негода Денис Михайлович;390.0;81;49;73;52;78;57
28;Образцова Маргарита Геннадьевна;245.0;51;49;40;36;49;20
29;Одемлюк Иван Андреевич;96.0;19;14;12;16;27;8
30;Пузанова Надежда Даниловна;732.0;84;59;113;207;161;108
31;Советина Ксения Анатольевна;95.0;17;13;16;15;18;16
32;Солонников Даниил Александрович;99.0;23;8;12;15;29;12
33;Трещук Олег Владимирович;238.0;41;35;41;40;51;30
34;Хомяков Олег Евгеньевич;132.0;26;23;20;14;36;13
35;Юскова Анастасия Юнусовна;162.0;21;25;21;36;41;18
