;name;overall;УИК №2674;УИК №2675;УИК №2676;УИК №2677;УИК №2679;УИК №2680;УИК №2683;УИК №2684;УИК №2685;УИК №2686;УИК №2687;УИК №2688;УИК №2689;УИК №2690;УИК №2691;УИК №2692;УИК №2693;УИК №2694
14;Бедрик Сергей Викторович;358.0;21;20;14;23;38;37;37;12;16;19;31;11;9;10;13;23;8;16
15;Богданов Владимир Андреевич;349.0;21;22;17;26;12;20;20;21;19;11;30;17;12;20;24;16;18;23
16;Володин Евгений Евгеньевич;463.0;31;42;12;24;16;31;23;30;21;23;28;10;18;17;32;29;37;39
17;Дирин Александр Викторович;733.0;61;97;48;42;23;36;37;36;46;43;32;12;31;27;49;41;29;43
18;Драгун Владимир Николаевич;312.0;19;17;16;16;20;24;24;8;26;16;26;4;11;12;11;29;14;19
19;Каландаров Камилжан Хамутович;156.0;6;8;9;17;7;6;12;8;9;1;11;5;6;10;6;21;6;8
20;Кузнецова Елена Ивановна;1585.0;119;108;105;75;70;96;138;98;101;90;115;58;51;68;69;60;84;80
21;Листков Николай Александрович;521.0;36;62;30;40;16;19;30;17;23;42;25;14;20;30;34;31;24;28
22;Лунгрен Алексей Викторович;279.0;15;20;25;18;12;14;14;24;18;11;12;10;6;14;15;16;14;21
23;Митрофанов Анатолий Викторович;1281.0;103;97;76;56;55;83;118;72;90;91;68;48;42;66;40;44;74;58
24;Печенин Дмитрий Валерьевич;467.0;34;63;29;29;8;15;25;12;29;42;22;18;19;22;38;27;13;22
25;Рудковский Андрей Андреевич;259.0;13;16;9;20;18;18;19;18;9;21;11;10;7;12;14;21;17;6
26;Салов Олег Альбертович;651.0;43;70;24;55;14;42;43;28;28;51;30;11;19;28;59;34;40;32
27;Самодуров Кирилл Олегович;851.0;28;54;28;41;30;49;38;39;49;36;42;14;27;37;116;88;57;78
28;Самохоткин Матвей Александрович;573.0;35;45;24;30;26;51;26;29;33;26;23;8;23;24;48;24;41;57
29;Семенов Александр Арсентьевич;532.0;29;35;24;30;22;36;30;33;41;27;38;19;15;35;27;36;27;28
30;Середин Александр Михайлович;418.0;26;26;30;25;20;21;23;30;26;15;26;16;15;18;23;33;14;31
31;Скурлатов Игорь Валерьевич;291.0;11;25;17;16;11;19;16;11;21;19;17;6;9;15;18;26;17;17
32;Танасьев Никита Сергеевич;616.0;46;68;29;46;20;37;23;23;32;54;43;17;18;22;43;34;30;31
33;Харев Вадим Александрович;650.0;60;53;39;51;33;37;37;28;30;30;30;17;21;34;39;31;37;43
34;Хрыкина Надежда Михайловна;1264.0;105;102;91;59;59;77;102;75;83;76;72;45;31;59;49;41;82;56
35;Шатова Елена Леонидовна;1589.0;113;115;95;60;85;109;144;85;103;99;102;53;41;75;62;67;99;82
36;Шацкая Татьяна Ивановна;1577.0;124;117;104;64;85;103;145;81;112;96;99;56;45;58;57;74;87;70
