;parameter;overall;УИК №2674;УИК №2675;УИК №2676;УИК №2677;УИК №2679;УИК №2680;УИК №2683;УИК №2684;УИК №2685;УИК №2686;УИК №2687;УИК №2688;УИК №2689;УИК №2690;УИК №2691;УИК №2692;УИК №2693;УИК №2694
1;Число избирателей, внесенных в список;36158.0;2224;2151;2438;2211;1640;1964;2201;2066;1973;2221;2321;1388;1583;1426;1924;1894;2254;2279
2;Число бюллетеней, полученных участковой комиссией;25850.0;1600;1550;1750;1600;1150;1400;1550;1500;1400;1600;1650;1000;1150;1050;1350;1350;1600;1600
3;Число бюллетеней, выданных избирателям в помещении для голосования;4476.0;288;297;259;228;229;288;321;219;256;266;276;136;193;192;258;252;265;253
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;39.0;3;6;1;0;1;2;2;2;3;3;4;0;1;3;2;1;5;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;176.0;17;21;10;4;4;6;10;14;14;11;17;2;6;10;15;1;5;9
6;Число погашенных бюллетеней;21198.0;1295;1232;1481;1368;917;1106;1219;1267;1130;1323;1357;862;951;848;1077;1097;1330;1338
7;Число бюллетеней в переносных ящиках для голосования;176.0;17;21;10;4;4;6;10;14;14;11;17;2;6;10;15;1;5;9
8;Число бюллетеней в стационарных ящиках для голосования;4498.0;291;302;259;228;230;290;323;220;259;267;276;136;187;195;260;253;269;253
9;Число недействительных бюллетеней;207.0;13;9;15;14;9;10;10;8;12;13;16;7;14;14;9;7;14;13
10;Число действительных бюллетеней;4467.0;295;314;254;218;225;286;323;226;261;265;277;131;179;191;266;247;260;249
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
