;name;overall;УИК №1094;УИК №1095;УИК №1096;УИК №1097;УИК №1098;УИК №1099;УИК №1100;УИК №1101;УИК №1108;УИК №3435
14;Барабанов Родион Евгеньевич;391.0;35;27;28;32;28;64;51;46;41;39
15;Барканова Ирина Кирилловна;262.0;19;31;27;32;28;26;25;10;44;20
16;Васильева Вера Аркадьевна;354.0;30;35;35;32;26;36;71;27;49;13
17;Воробьева Александра Олеговна;577.0;88;42;48;43;45;88;59;61;57;46
18;Грудцына Людмила Юрьевна;506.0;61;37;36;45;32;92;57;57;54;35
19;Гунин Константин Васильевич;352.0;31;30;31;44;48;49;34;29;41;15
20;Ерхова Светлана Викторовна;85.0;7;6;7;12;13;15;12;4;8;1
21;Красовский Владислав Александрович;127.0;9;16;9;27;11;9;18;8;15;5
22;Кузнецов Андрей Вадимович;161.0;22;12;14;9;18;21;22;20;11;12
23;Лопухина Мария Вадимовна;1081.0;199;117;77;111;103;98;112;47;184;33
24;Мазилова Татьяна Александровна;937.0;177;100;72;110;101;82;88;44;138;25
25;Мжачих Никита Дмитриевич;116.0;13;11;10;17;14;15;12;9;15;0
26;Никитин Максим Николаевич;911.0;185;115;74;98;84;79;88;39;132;17
27;Николаев Евгений Леонидович;239.0;19;21;22;28;32;33;23;13;36;12
28;Привалов Антон Евгеньевич;81.0;7;6;4;10;14;12;11;6;8;3
29;Протасов Роман Игоревич;63.0;6;4;5;9;10;6;9;4;7;3
30;Савельева Надежда Владимировна;231.0;21;13;16;31;30;35;26;18;30;11
31;Соболева Екатерина Сергеевна;179.0;9;8;20;25;21;22;23;16;19;16
32;Сячин Алексей Валерьевич;58.0;5;4;6;7;5;5;12;5;9;0
33;Тихоновский Максим Дмитриевич;128.0;6;10;5;12;17;17;30;7;19;5
34;Фролов Владимир Владимирович;136.0;5;16;13;14;24;18;15;5;20;6
35;Шакин Олег Юрьевич;846.0;163;77;58;89;91;85;92;41;128;22
36;Шилкина Татьяна Михайловна;513.0;64;43;42;43;29;89;62;43;61;37
37;Яковлев Артем Сергеевич;86.0;10;14;11;5;12;8;5;7;13;1
