;parameter;overall;УИК №1110;УИК №1112;УИК №1114;УИК №1115;УИК №1116;УИК №1117;УИК №1118;УИК №1119;УИК №1120
1;Число избирателей, внесенных в список;18399.0;1275;2412;1544;2513;2491;1969;2373;1522;2300
2;Число бюллетеней, полученных участковой комиссией;13150.0;950;1700;1100;1800;1750;1400;1700;1100;1650
3;Число бюллетеней, выданных избирателям в помещении для голосования;2111.0;116;269;169;335;264;195;298;180;285
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;4.0;0;0;1;0;0;0;0;3;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;171.0;16;15;21;15;21;27;19;14;23
6;Число погашенных бюллетеней;10868.0;818;1416;910;1450;1465;1178;1383;906;1342
7;Число бюллетеней в переносных ящиках для голосования;171.0;16;15;21;15;21;27;19;14;23
8;Число бюллетеней в стационарных ящиках для голосования;2097.0;115;254;169;335;264;194;298;183;285
9;Число недействительных бюллетеней;68.0;1;8;9;13;8;4;9;6;10
10;Число действительных бюллетеней;2200.0;130;261;181;337;277;217;308;191;298
11;Число утраченных бюллетеней;1.0;1;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;1.0;1;0;0;0;0;0;0;0;0
