;parameter;overall;УИК №1121;УИК №1132;УИК №1142;УИК №1143;УИК №1144;УИК №1145;УИК №1146;УИК №1147;УИК №1148;УИК №1149
1;Число избирателей, внесенных в список;21657.0;2199;2343;2027;2088;1358;2115;2310;2513;2323;2381
2;Число бюллетеней, полученных участковой комиссией;16900.0;1700;1800;1600;1600;1000;1600;1800;2000;1800;2000
3;Число бюллетеней, выданных избирателям в помещении для голосования;3372.0;437;304;232;270;223;360;349;417;431;349
4;Число бюллетеней, выданных избирателям, проголосовавшим досрочно;5.0;0;0;0;0;0;0;2;0;3;0
5;Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования;125.0;16;18;13;11;7;15;11;2;9;23
6;Число погашенных бюллетеней;13403.0;1247;1478;1355;1319;770;1225;1440;1581;1360;1628
7;Число бюллетеней в переносных ящиках для голосования;125.0;16;18;13;11;7;15;11;2;9;23
8;Число бюллетеней в стационарных ящиках для голосования;3374.0;435;303;232;270;223;360;351;417;434;349
9;Число недействительных бюллетеней;85.0;14;10;11;7;5;5;8;13;7;5
10;Число действительных бюллетеней;3414.0;437;311;234;274;225;370;354;406;436;367
11;Число утраченных бюллетеней;0.0;0;0;0;0;0;0;0;0;0;0
12;Число бюллетеней, не учтенных при получении;0.0;0;0;0;0;0;0;0;0;0;0
